fixture_id,team_id,team_name,kickoff_utc,observed_at_utc,player_id,player_name,position,minutes,provider_rating,shots_total,shots_on,goals,assists,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow,red,penalty_won,penalty_committed,penalty_scored,penalty_missed,source
14480,320,Kristiansund BK,2017-11-19T17:00:00+00:00,2026-09-26T11:21:48Z,15706,Benjamin Stokke,F,90,7.2,1,1,,1,14,4,63%,,,0,8,6,0,0,2,1,0,0,,,0,0,API_FOOTBALL_FIXTURES_PLAYERS
14480,320,Kristiansund BK,2017-11-19T17:00:00+00:00,2026-09-26T11:21:48Z,39151,Sean McDermott,G,90,6.4,0,0,,,14,0,60%,,,0,2,2,0,0,2,0,0,0,,,0,0,API_FOOTBALL_FIXTURES_PLAYERS
14480,320,Kristiansund BK,2017-11-19T17:00:00+00:00,2026-09-26T11:21:48Z,39154,Aliou Coly,D,90,6.6,2,1,,,11,0,44%,,,3,10,5,1,1,2,1,0,0,,,0,0,API_FOOTBALL_FIXTURES_PLAYERS
14480,320,Kristiansund BK,2017-11-19T17:00:00+00:00,2026-09-26T11:21:48Z,39155,Andreas Hopmark,D,90,6.5,0,0,,,20,0,74%,,,0,8,4,0,0,0,0,0,0,,,0,0,API_FOOTBALL_FIXTURES_PLAYERS
14480,320,Kristiansund BK,2017-11-19T17:00:00+00:00,2026-09-26T11:21:48Z,39158,Erlend Sivertsen,M,90,6.8,0,0,,,11,0,68%,,,3,5,4,0,0,1,0,0,0,,,0,0,API_FOOTBALL_FIXTURES_PLAYERS
14480,320,Kristiansund BK,2017-11-19T17:00:00+00:00,2026-09-26T11:21:48Z,39161,Pal Erik Ulvestad,M,90,6.4,0,0,,,16,0,61%,,,1,6,4,0,0,0,0,0,0,,,0,0,API_FOOTBALL_FIXTURES_PLAYERS
14480,320,Kristiansund BK,2017-11-19T17:00:00+00:00,2026-09-26T11:21:48Z,39164,Amidou Diop,M,25,5.9,0,0,,,3,0,42%,,,0,3,2,1,1,0,0,0,0,,,0,0,API_FOOTBALL_FIXTURES_PLAYERS
14480,320,Kristiansund BK,2017-11-19T17:00:00+00:00,2026-09-26T11:21:48Z,39166,Liridon Kalludra,M,65,7.0,1,0,,,18,1,94%,,,0,1,1,0,0,0,0,0,0,,,0,0,API_FOOTBALL_FIXTURES_PLAYERS
14480,320,Kristiansund BK,2017-11-19T17:00:00+00:00,2026-09-26T11:21:48Z,39169,Sondre Sorlie,M,1,–,1,0,,,0,0,0%,,,0,0,0,0,0,0,0,0,0,,,0,0,API_FOOTBALL_FIXTURES_PLAYERS
14480,320,Kristiansund BK,2017-11-19T17:00:00+00:00,2026-09-26T11:21:48Z,39174,Torgil Owre Gjertsen,M,89,8.7,4,2,1,2,9,2,45%,,,2,19,13,3,2,3,1,1,0,,,0,0,API_FOOTBALL_FIXTURES_PLAYERS
