screened_at_utc,div,league,api_fixture_id,match_date,kickoff_time,weekday,home_team,away_team,r1,r2,r3,signal_rules,b365_home,b365_draw,b365_away,unique_away_favorite,home_rank,away_rank,home_points,away_points,home_played,away_played,home_remaining,away_remaining,home_last5_ppg,away_last5_ppg,home_rest_days,away_rest_days,best_home_odds,best_home_book,best_draw_odds,best_draw_book,best_away_odds,best_away_book,execution_odds_source,execution_odds_verified,odds_last_update_utc,passport_status,notes
2026-09-11T10:47:47Z,I1,Serie A,1550124,2026-09-13,18:45,Sunday,Sassuolo,Juventus,YES,NO,NO,R1,5.25,4.0,1.62,YES,11,6,4,7,3,3,35,35,1.33,2.33,7,7,5.52,1xBet,4.14,1xBet,1.69,1xBet,API-Football all-bookmaker Match Winner,YES,2026-09-11T04:54:21+00:00,SIGNAL,R3 exact reconciler applied
2026-09-11T10:47:47Z,I1,Serie A,1550125,2026-09-14,16:30,Monday,Torino,AS Roma,YES,NO,NO,R1,6.0,4.0,1.57,YES,13,1,3,9,3,3,35,35,1.00,3.00,9,9,6.19,1xBet,4.24,Pinnacle,1.62,1xBet,API-Football all-bookmaker Match Winner,YES,2026-09-11T04:54:21+00:00,SIGNAL,R3 exact reconciler applied
2026-09-11T10:47:47Z,I1,Serie A,1550131,2026-09-20,13:00,Sunday,Frosinone,Como,YES,NO,NO,R1,5.25,3.9,1.62,YES,7,4,6,7,3,3,35,35,2.00,2.33,14,16,5.6,Pinnacle,4.14,1xBet,1.69,1xBet,API-Football all-bookmaker Match Winner,YES,2026-09-11T09:01:15+00:00,SIGNAL,R3 exact reconciler applied
