snapshot_id,provider_league_id,league_name,season,observed_at_utc,team_id,team_name,team_logo_url,rank,points,played,win,draw,lose,goals_for,goals_against,goals_diff,form,group_name,description,source
standings-81f801466d4e6cd1e361,140,La Liga,2026,2026-09-15T16:01:16Z,529,Barcelona,https://media.api-sports.io/football/teams/529.png,1,15,5,5,0,0,21,4,17,WWWWW,La Liga,Champions League league stage,api-football:/standings
standings-81f801466d4e6cd1e361,140,La Liga,2026,2026-09-15T16:01:16Z,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,2,12,5,4,0,1,14,4,10,WLWWW,La Liga,Champions League league stage,api-football:/standings
standings-81f801466d4e6cd1e361,140,La Liga,2026,2026-09-15T16:01:16Z,543,Real Betis,https://media.api-sports.io/football/teams/543.png,3,12,5,4,0,1,7,6,1,WWLWW,La Liga,Champions League league stage,api-football:/standings
standings-81f801466d4e6cd1e361,140,La Liga,2026,2026-09-15T16:01:16Z,542,Alaves,https://media.api-sports.io/football/teams/542.png,4,10,5,3,1,1,11,5,6,LWWDW,La Liga,Champions League league stage,api-football:/standings
standings-81f801466d4e6cd1e361,140,La Liga,2026,2026-09-15T16:01:16Z,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,5,10,5,3,1,1,10,6,4,WLWDW,La Liga,Europa League league stage,api-football:/standings
standings-81f801466d4e6cd1e361,140,La Liga,2026,2026-09-15T16:01:16Z,536,Sevilla,https://media.api-sports.io/football/teams/536.png,6,10,5,3,1,1,8,6,2,WDLWW,La Liga,ECL Playoffs,api-football:/standings
standings-81f801466d4e6cd1e361,140,La Liga,2026,2026-09-15T16:01:16Z,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,7,9,5,2,3,0,9,6,3,DWWDD,La Liga,,api-football:/standings
standings-81f801466d4e6cd1e361,140,La Liga,2026,2026-09-15T16:01:16Z,540,Espanyol,https://media.api-sports.io/football/teams/540.png,8,7,5,2,1,2,8,5,3,WDLLW,La Liga,,api-football:/standings
standings-81f801466d4e6cd1e361,140,La Liga,2026,2026-09-15T16:01:16Z,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,9,7,5,2,1,2,7,6,1,DWWLL,La Liga,,api-football:/standings
standings-81f801466d4e6cd1e361,140,La Liga,2026,2026-09-15T16:01:16Z,4665,Racing Santander,https://media.api-sports.io/football/teams/4665.png,10,7,5,2,1,2,9,9,0,WLWLD,La Liga,,api-football:/standings
standings-81f801466d4e6cd1e361,140,La Liga,2026,2026-09-15T16:01:16Z,727,Osasuna,https://media.api-sports.io/football/teams/727.png,11,7,5,2,1,2,5,8,-3,LLWWD,La Liga,,api-football:/standings
standings-81f801466d4e6cd1e361,140,La Liga,2026,2026-09-15T16:01:16Z,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,12,7,6,2,1,3,6,11,-5,LWDWL,La Liga,,api-football:/standings
standings-81f801466d4e6cd1e361,140,La Liga,2026,2026-09-15T16:01:16Z,539,Levante,https://media.api-sports.io/football/teams/539.png,13,5,5,1,2,2,7,9,-2,LDWDL,La Liga,,api-football:/standings
standings-81f801466d4e6cd1e361,140,La Liga,2026,2026-09-15T16:01:16Z,546,Getafe,https://media.api-sports.io/football/teams/546.png,14,5,5,1,2,2,3,6,-3,DDLWL,La Liga,,api-football:/standings
standings-81f801466d4e6cd1e361,140,La Liga,2026,2026-09-15T16:01:16Z,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,15,4,6,0,4,2,3,6,-3,DDDLL,La Liga,,api-football:/standings
standings-81f801466d4e6cd1e361,140,La Liga,2026,2026-09-15T16:01:16Z,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,16,4,5,1,1,3,8,14,-6,LWLDL,La Liga,,api-football:/standings
