research_id,family,country,league,api_league_id,api_fixture_id,kickoff_utc,home_team_id,home_team,away_team_id,away_team,selection,stake_u,trigger_captured_at_utc,trigger_b365_home,trigger_b365_draw,trigger_b365_away,home_played,away_played,home_last5_ppg,away_last5_ppg,eligibility_frozen_at_utc,user_bookmaker,user_odds,user_price_captured_at_utc,status,result,final_home_goals,final_away_goals,user_profit_u,settled_at_utc,notes
R1|203|1584406,R1,Turkey,Super Lig,203,1584406,2026-09-12T14:00:00+00:00,3588,Eyüpspor,1007,Rizespor,П2,1.000,2026-09-11T12:29:59Z,3.9,3.4,1.9,4,4,0.750,1.500,2026-09-11T12:29:59Z,Marathonbet,1.86,2026-09-11T12:29:59Z,PENDING,,,,,,research-only exact R1 analogue; never canonical automatically
R1|203|1584410,R1,Turkey,Super Lig,203,1584410,2026-09-12T17:00:00+00:00,607,Konyaspor,998,Trabzonspor,П2,1.000,2026-09-11T12:29:59Z,3.6,3.5,1.95,4,4,0.000,1.750,2026-09-11T12:29:59Z,Marathonbet,1.93,2026-09-11T12:29:59Z,PENDING,,,,,,research-only exact R1 analogue; never canonical automatically
R1|179|1556641,R1,Scotland,Scottish Premiership,179,1556641,2026-09-15T18:45:00+00:00,1389,Falkirk,254,Heart Of Midlothian,П2,1.000,2026-09-11T12:29:59Z,3.6,3.6,1.95,5,5,0.400,2.400,2026-09-11T12:29:59Z,Marathonbet,1.98,2026-09-11T12:29:59Z,PENDING,,,,,,research-only exact R1 analogue; never canonical automatically
R1|78|1575162,R1,Germany,Bundesliga,78,1575162,2026-09-12T13:30:00+00:00,170,FC Augsburg,168,Bayer Leverkusen,П2,1.000,2026-09-11T20:08:08Z,4.0,4.1,1.8,2,2,3.000,1.500,2026-09-11T20:08:08Z,Marathonbet,1.8,2026-09-11T20:08:08Z,SETTLED,L,2,2,-1.000,2026-09-12T15:28:10Z,research-only exact R1 analogue; never canonical automatically
R1|39|1557405,R1,England,Premier League,39,1557405,2026-09-12T19:00:00+00:00,746,Sunderland,42,Arsenal,П2,1.000,2026-09-11T20:52:31Z,7.5,4.1,1.48,3,3,1.333,3.000,2026-09-11T20:52:31Z,Marathonbet,1.5,2026-09-11T20:52:31Z,PENDING,,,,,,research-only exact R1 analogue; never canonical automatically
R2|94|1575495,R2,Portugal,Primeira Liga,94,1575495,2026-09-12T17:00:00+00:00,4716,Casa Pia,212,FC Porto,П2,1.000,2026-09-11T12:29:59Z,10.0,6.0,1.25,5,5,0.200,3.000,2026-09-12T07:27:30Z,Marathonbet,1.23,2026-09-12T07:27:30Z,PENDING,,,,,,research-only exact R2 analogue frozen close to kickoff; never canonical automatically
R2|218|1561929,R2,Austria,Austrian Bundesliga,218,1561929,2026-09-12T17:30:00+00:00,1025,Wolfsberger AC,781,Rapid Vienna,П2,1.000,2026-09-11T12:29:59Z,4.75,3.9,1.7,5,5,1.000,2.400,2026-09-12T07:27:31Z,Marathonbet,1.66,2026-09-12T07:27:31Z,PENDING,,,,,,research-only exact R2 analogue frozen close to kickoff; never canonical automatically
R2|88|1552168,R2,Netherlands,Eredivisie,88,1552168,2026-09-12T19:00:00+00:00,420,Cambuur,413,NEC Nijmegen,П2,1.000,2026-09-11T12:29:59Z,5.0,5.0,1.53,5,5,0.200,1.400,2026-09-12T07:27:31Z,Marathonbet,1.5,2026-09-12T07:27:31Z,PENDING,,,,,,research-only exact R2 analogue frozen close to kickoff; never canonical automatically
R1|39|1557400,R1,England,Premier League,39,1557400,2026-09-13T13:00:00+00:00,1346,Coventry,51,Brighton,П2,1.000,2026-09-12T15:28:05Z,3.8,3.9,1.9,3,3,0.000,1.333,2026-09-12T15:28:05Z,Marathonbet,1.89,2026-09-12T15:28:05Z,PENDING,,,,,,research-only exact R1 analogue; never canonical automatically
R1|88|1552170,R1,Netherlands,Eredivisie,88,1552170,2026-09-13T14:45:00+00:00,193,PEC Zwolle,209,Feyenoord,П2,1.000,2026-09-12T15:28:06Z,5.75,5.25,1.45,5,5,0.800,2.200,2026-09-12T15:28:06Z,Marathonbet,1.43,2026-09-12T15:28:06Z,PENDING,,,,,,research-only exact R1 analogue; never canonical automatically
R1|103|1494758,R1,Norway,Eliteserien,103,1494758,2026-09-13T15:00:00+00:00,2159,Ham-Kam,329,Molde,П2,1.000,2026-09-12T15:28:06Z,4.2,4.0,1.73,19,19,1.000,2.000,2026-09-12T15:28:07Z,Marathonbet,1.7,2026-09-12T15:28:07Z,PENDING,,,,,,research-only exact R1 analogue; never canonical automatically
R1|61|1552759,R1,France,Ligue 1,61,1552759,2026-09-13T15:15:00+00:00,1298,Le Mans,116,Lens,П2,1.000,2026-09-12T15:28:07Z,4.75,4.1,1.67,3,3,0.667,1.000,2026-09-12T15:28:07Z,Marathonbet,1.68,2026-09-12T15:28:07Z,PENDING,,,,,,research-only exact R1 analogue; never canonical automatically
R1|94|1575496,R1,Portugal,Primeira Liga,94,1575496,2026-09-13T19:30:00+00:00,242,Famalicao,228,Sporting CP,П2,1.000,2026-09-12T15:28:08Z,6.0,4.1,1.53,5,5,0.600,2.600,2026-09-12T15:28:08Z,Marathonbet,1.5,2026-09-12T15:28:08Z,PENDING,,,,,,research-only exact R1 analogue; never canonical automatically
