forward_id,rule,api_fixture_id,captured_at_utc,fixture_status,current_kickoff_utc,minutes_to_kickoff,selection,best_odds,best_book,bet365_odds,user_best_odds,user_best_book,user_allowlist_configured,api_odds_update_utc
R1|I1|1550124,R1,1550124,2026-09-11T17:42:41Z,NS,2026-09-13T18:45:00Z,2942.3,Away,1.69,1xBet,1.62,1.68,Marathonbet,YES,2026-09-11T13:09:15+00:00
R1|I1|1550125,R1,1550125,2026-09-11T17:42:41Z,NS,2026-09-14T16:30:00Z,4247.3,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-11T17:16:17+00:00
R1|I1|1550131,R1,1550131,2026-09-11T17:42:41Z,NS,2026-09-20T13:00:00Z,12677.3,Away,1.69,1xBet,1.62,1.65,Marathonbet,YES,2026-09-11T17:16:17+00:00
R1|I1|1550124,R1,1550124,2026-09-11T18:45:25Z,NS,2026-09-13T18:45:00Z,2879.6,Away,1.69,1xBet,1.62,1.68,Marathonbet,YES,2026-09-11T13:09:15+00:00
R1|I1|1550125,R1,1550125,2026-09-11T18:45:25Z,NS,2026-09-14T16:30:00Z,4184.6,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-11T17:16:17+00:00
R1|I1|1550131,R1,1550131,2026-09-11T18:45:25Z,NS,2026-09-20T13:00:00Z,12614.6,Away,1.69,1xBet,1.62,1.65,Marathonbet,YES,2026-09-11T17:16:17+00:00
R1|I1|1550124,R1,1550124,2026-09-11T19:42:30Z,NS,2026-09-13T18:45:00Z,2822.5,Away,1.71,1xBet,1.62,1.68,Marathonbet,YES,2026-09-11T17:16:17+00:00
R1|I1|1550125,R1,1550125,2026-09-11T19:42:30Z,NS,2026-09-14T16:30:00Z,4127.5,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-11T17:16:17+00:00
R1|I1|1550131,R1,1550131,2026-09-11T19:42:30Z,NS,2026-09-20T13:00:00Z,12557.5,Away,1.69,1xBet,1.62,1.65,Marathonbet,YES,2026-09-11T17:16:17+00:00
R1|I1|1550124,R1,1550124,2026-09-11T20:44:16Z,NS,2026-09-13T18:45:00Z,2760.7,Away,1.71,1xBet,1.62,1.68,Marathonbet,YES,2026-09-11T17:16:17+00:00
R1|I1|1550125,R1,1550125,2026-09-11T20:44:16Z,NS,2026-09-14T16:30:00Z,4065.7,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-11T17:16:17+00:00
R1|I1|1550131,R1,1550131,2026-09-11T20:44:16Z,NS,2026-09-20T13:00:00Z,12495.7,Away,1.69,1xBet,1.62,1.65,Marathonbet,YES,2026-09-11T17:16:17+00:00
R1|I1|1550124,R1,1550124,2026-09-11T21:41:40Z,NS,2026-09-13T18:45:00Z,2703.3,Away,1.71,1xBet,1.62,1.68,Marathonbet,YES,2026-09-11T17:16:17+00:00
R1|I1|1550125,R1,1550125,2026-09-11T21:41:40Z,NS,2026-09-14T16:30:00Z,4008.3,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-11T17:16:17+00:00
R1|I1|1550131,R1,1550131,2026-09-11T21:41:40Z,NS,2026-09-20T13:00:00Z,12438.3,Away,1.69,1xBet,1.62,1.65,Marathonbet,YES,2026-09-11T21:23:42+00:00
R1|I1|1550124,R1,1550124,2026-09-11T22:42:11Z,NS,2026-09-13T18:45:00Z,2642.8,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-11T21:23:41+00:00
R1|I1|1550125,R1,1550125,2026-09-11T22:42:11Z,NS,2026-09-14T16:30:00Z,3947.8,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-11T17:16:17+00:00
R1|I1|1550131,R1,1550131,2026-09-11T22:42:11Z,NS,2026-09-20T13:00:00Z,12377.8,Away,1.69,1xBet,1.62,1.65,Marathonbet,YES,2026-09-11T21:23:42+00:00
R1|I1|1550124,R1,1550124,2026-09-11T23:41:11Z,NS,2026-09-13T18:45:00Z,2583.8,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-11T21:23:41+00:00
R1|I1|1550125,R1,1550125,2026-09-11T23:41:11Z,NS,2026-09-14T16:30:00Z,3888.8,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-11T21:23:42+00:00
R1|I1|1550131,R1,1550131,2026-09-11T23:41:11Z,NS,2026-09-20T13:00:00Z,12318.8,Away,1.69,1xBet,1.62,1.65,Marathonbet,YES,2026-09-11T21:23:42+00:00
R1|I1|1550124,R1,1550124,2026-09-12T00:47:34Z,NS,2026-09-13T18:45:00Z,2517.4,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-11T21:23:41+00:00
R1|I1|1550125,R1,1550125,2026-09-12T00:47:34Z,NS,2026-09-14T16:30:00Z,3822.4,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-11T21:23:42+00:00
R1|I1|1550131,R1,1550131,2026-09-12T00:47:34Z,NS,2026-09-20T13:00:00Z,12252.4,Away,1.69,1xBet,1.62,1.65,Marathonbet,YES,2026-09-11T21:23:42+00:00
R1|I1|1550124,R1,1550124,2026-09-12T01:43:03Z,NS,2026-09-13T18:45:00Z,2461.9,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T01:28:18+00:00
R1|I1|1550125,R1,1550125,2026-09-12T01:43:03Z,NS,2026-09-14T16:30:00Z,3766.9,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-12T01:28:18+00:00
R1|I1|1550131,R1,1550131,2026-09-12T01:43:03Z,NS,2026-09-20T13:00:00Z,12197.0,Away,1.69,1xBet,1.62,1.65,Marathonbet,YES,2026-09-11T21:23:42+00:00
R1|I1|1550124,R1,1550124,2026-09-12T02:44:13Z,NS,2026-09-13T18:45:00Z,2400.8,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T01:28:18+00:00
R1|I1|1550125,R1,1550125,2026-09-12T02:44:13Z,NS,2026-09-14T16:30:00Z,3705.8,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-12T01:28:18+00:00
R1|I1|1550131,R1,1550131,2026-09-12T02:44:13Z,NS,2026-09-20T13:00:00Z,12135.8,Away,1.69,1xBet,1.62,1.65,Marathonbet,YES,2026-09-11T21:23:42+00:00
R1|I1|1550124,R1,1550124,2026-09-12T03:43:47Z,NS,2026-09-13T18:45:00Z,2341.2,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T01:28:18+00:00
R1|I1|1550125,R1,1550125,2026-09-12T03:43:47Z,NS,2026-09-14T16:30:00Z,3646.2,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-12T01:28:18+00:00
R1|I1|1550131,R1,1550131,2026-09-12T03:43:47Z,NS,2026-09-20T13:00:00Z,12076.2,Away,1.68,1xBet,1.62,1.64,Marathonbet,YES,2026-09-12T01:28:18+00:00
R1|I1|1550124,R1,1550124,2026-09-12T04:44:10Z,NS,2026-09-13T18:45:00Z,2280.8,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T01:28:18+00:00
R1|I1|1550125,R1,1550125,2026-09-12T04:44:10Z,NS,2026-09-14T16:30:00Z,3585.8,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-12T01:28:18+00:00
R1|I1|1550131,R1,1550131,2026-09-12T04:44:10Z,NS,2026-09-20T13:00:00Z,12015.8,Away,1.68,1xBet,1.62,1.64,Marathonbet,YES,2026-09-12T01:28:18+00:00
R1|I1|1550124,R1,1550124,2026-09-12T05:42:54Z,NS,2026-09-13T18:45:00Z,2222.1,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T05:27:17+00:00
R1|I1|1550125,R1,1550125,2026-09-12T05:42:54Z,NS,2026-09-14T16:30:00Z,3527.1,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-12T01:28:18+00:00
R1|I1|1550131,R1,1550131,2026-09-12T05:42:54Z,NS,2026-09-20T13:00:00Z,11957.1,Away,1.68,1xBet,1.62,1.64,Marathonbet,YES,2026-09-12T05:27:17+00:00
R1|I1|1550124,R1,1550124,2026-09-12T06:47:25Z,NS,2026-09-13T18:45:00Z,2157.6,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T05:27:17+00:00
R1|I1|1550125,R1,1550125,2026-09-12T06:47:25Z,NS,2026-09-14T16:30:00Z,3462.6,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-12T05:27:17+00:00
R1|I1|1550131,R1,1550131,2026-09-12T06:47:25Z,NS,2026-09-20T13:00:00Z,11892.6,Away,1.68,1xBet,1.62,1.64,Marathonbet,YES,2026-09-12T05:27:17+00:00
R1|I1|1550124,R1,1550124,2026-09-12T07:41:54Z,NS,2026-09-13T18:45:00Z,2103.1,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T05:27:17+00:00
R1|I1|1550125,R1,1550125,2026-09-12T07:41:54Z,NS,2026-09-14T16:30:00Z,3408.1,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-12T05:27:17+00:00
R1|I1|1550131,R1,1550131,2026-09-12T07:41:54Z,NS,2026-09-20T13:00:00Z,11838.1,Away,1.68,1xBet,1.62,1.64,Marathonbet,YES,2026-09-12T05:27:17+00:00
R1|I1|1550124,R1,1550124,2026-09-12T08:43:58Z,NS,2026-09-13T18:45:00Z,2041.0,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T08:15:52+00:00
R1|I1|1550125,R1,1550125,2026-09-12T08:43:58Z,NS,2026-09-14T16:30:00Z,3346.0,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-12T05:27:17+00:00
R1|I1|1550131,R1,1550131,2026-09-12T08:43:58Z,NS,2026-09-20T13:00:00Z,11776.0,Away,1.68,1xBet,1.62,1.64,Marathonbet,YES,2026-09-12T05:27:17+00:00
R1|I1|1550124,R1,1550124,2026-09-12T09:42:46Z,NS,2026-09-13T18:45:00Z,1982.2,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T08:15:52+00:00
R1|I1|1550125,R1,1550125,2026-09-12T09:42:46Z,NS,2026-09-14T16:30:00Z,3287.2,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-12T05:27:17+00:00
R1|I1|1550131,R1,1550131,2026-09-12T09:42:46Z,NS,2026-09-20T13:00:00Z,11717.2,Away,1.63,1xBet,1.55,1.59,Marathonbet,YES,2026-09-12T09:24:22+00:00
R1|I1|1550124,R1,1550124,2026-09-12T10:41:54Z,NS,2026-09-13T18:45:00Z,1923.1,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T08:15:52+00:00
