settlement_key,market_family,api_fixture_id,league,league_id,kickoff_utc,settled_at_utc,home_team,away_team,market_key,line,team_side,final_home_goals,final_away_goals,selection_a,selection_b,selection_c,result_a,result_b,result_c,bet365_close_a,bet365_close_b,bet365_close_c,marathon_close_a,marathon_close_b,marathon_close_c,bet365_pnl_a,bet365_pnl_b,bet365_pnl_c,marathon_pnl_a,marathon_pnl_b,marathon_pnl_c,fixture_status,settlement_status,note
EUROPEAN_HANDICAP|EH|1515923|-1,EUROPEAN_HANDICAP,1515923,Virsliga,365,2026-09-11T14:00:00Z,2026-09-11T16:48:08Z,Ogre United,FK Liepaja,EH|1515923|-1,-1,,2,2,HOME,DRAW,AWAY,LOSS,LOSS,WIN,10.0,6.5,1.22,9.3,6.3,1.13,-1.000000,-1.000000,0.220000,-1.000000,-1.000000,0.130000,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
EUROPEAN_HANDICAP|EH|1515923|+1,EUROPEAN_HANDICAP,1515923,Virsliga,365,2026-09-11T14:00:00Z,2026-09-11T16:48:08Z,Ogre United,FK Liepaja,EH|1515923|+1,+1,,2,2,HOME,DRAW,AWAY,WIN,LOSS,LOSS,2.1,4.0,2.62,2.11,3.58,2.49,1.100000,-1.000000,-1.000000,1.110000,-1.000000,-1.000000,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
EUROPEAN_HANDICAP|EH|1515923|+2,EUROPEAN_HANDICAP,1515923,Virsliga,365,2026-09-11T14:00:00Z,2026-09-11T16:48:08Z,Ogre United,FK Liepaja,EH|1515923|+2,+2,,2,2,HOME,DRAW,AWAY,WIN,LOSS,LOSS,1.44,4.75,4.5,1.42,4.8,4.6,0.440000,-1.000000,-1.000000,0.420000,-1.000000,-1.000000,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
EUROPEAN_HANDICAP|EH|1515923|+3,EUROPEAN_HANDICAP,1515923,Virsliga,365,2026-09-11T14:00:00Z,2026-09-11T16:48:08Z,Ogre United,FK Liepaja,EH|1515923|+3,+3,,2,2,HOME,DRAW,AWAY,WIN,LOSS,LOSS,1.18,7.5,10.0,1.13,7.4,9.0,0.180000,-1.000000,-1.000000,0.130000,-1.000000,-1.000000,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1515921|H|0.5,TEAM_TOTAL,1515921,Virsliga,365,2026-09-11T15:00:00Z,2026-09-11T18:48:11Z,Riga,Auda,TT|1515921|H|0.5,0.5,H,2,2,OVER,UNDER,,WIN,LOSS,,1.07,7.5,,,,,0.070000,-1.000000,,,,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1515921|H|1.5,TEAM_TOTAL,1515921,Virsliga,365,2026-09-11T15:00:00Z,2026-09-11T18:48:11Z,Riga,Auda,TT|1515921|H|1.5,1.5,H,2,2,OVER,UNDER,,WIN,LOSS,,1.36,3.0,,1.33,2.93,,0.360000,-1.000000,,0.330000,-1.000000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1515921|H|2.5,TEAM_TOTAL,1515921,Virsliga,365,2026-09-11T15:00:00Z,2026-09-11T18:48:11Z,Riga,Auda,TT|1515921|H|2.5,2.5,H,2,2,OVER,UNDER,,LOSS,WIN,,2.1,1.67,,2.11,1.62,,-1.000000,0.670000,,-1.000000,0.620000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1515921|H|3.5,TEAM_TOTAL,1515921,Virsliga,365,2026-09-11T15:00:00Z,2026-09-11T18:48:11Z,Riga,Auda,TT|1515921|H|3.5,3.5,H,2,2,OVER,UNDER,,LOSS,WIN,,4.0,1.22,,3.52,1.22,,-1.000000,0.220000,,-1.000000,0.220000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1515921|H|4.5,TEAM_TOTAL,1515921,Virsliga,365,2026-09-11T15:00:00Z,2026-09-11T18:48:11Z,Riga,Auda,TT|1515921|H|4.5,4.5,H,2,2,OVER,UNDER,,LOSS,WIN,,7.0,1.08,,,,,-1.000000,0.080000,,,,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1515921|H|5.5,TEAM_TOTAL,1515921,Virsliga,365,2026-09-11T15:00:00Z,2026-09-11T18:48:11Z,Riga,Auda,TT|1515921|H|5.5,5.5,H,2,2,OVER,UNDER,,LOSS,WIN,,11.0,1.02,,,,,-1.000000,0.020000,,,,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
