run_at_utc,country,league,api_league_id,fixture_id,kickoff_utc,home_team,away_team,has_1x2,home_odds,draw_odds,away_odds,api_errors
2026-09-11T13:06:24Z,Latvia,Virsliga,365,1515921,2026-09-11T15:00:00+00:00,Riga,Auda,NO,,,,
2026-09-11T13:06:24Z,Latvia,Virsliga,365,1515920,2026-09-12T11:00:00+00:00,Grobiņa,FS Jelgava,NO,,,,
2026-09-11T13:06:24Z,Netherlands,Eredivisie,88,1552162,2026-09-11T18:00:00+00:00,AZ Alkmaar,Willem II,NO,,,,
2026-09-11T13:06:24Z,Netherlands,Eredivisie,88,1552163,2026-09-12T14:30:00+00:00,Twente,ADO Den Haag,NO,,,,
2026-09-11T13:06:24Z,Netherlands,Eredivisie,88,1552164,2026-09-12T16:45:00+00:00,GO Ahead Eagles,Groningen,NO,,,,
2026-09-11T13:06:24Z,Norway,Eliteserien,103,1494760,2026-09-12T14:00:00+00:00,Lillestrom,Valerenga,NO,,,,
2026-09-11T13:06:24Z,Norway,Eliteserien,103,1494761,2026-09-12T16:00:00+00:00,Rosenborg,Tromso,NO,,,,
2026-09-11T13:06:24Z,Norway,Eliteserien,103,1494763,2026-09-13T12:30:00+00:00,Viking,Kristiansund BK,NO,,,,
2026-09-11T13:06:24Z,Poland,Ekstraklasa,106,1553168,2026-09-11T16:00:00+00:00,Raków Częstochowa,Motor Lublin,NO,,,,
2026-09-11T13:06:24Z,Poland,Ekstraklasa,106,1553170,2026-09-11T18:30:00+00:00,Wisla Krakow,Jagiellonia,NO,,,,
2026-09-11T13:06:24Z,Poland,Ekstraklasa,106,1553169,2026-09-12T12:45:00+00:00,Slask Wroclaw,Korona Kielce,NO,,,,
2026-09-11T13:06:24Z,Portugal,Primeira Liga,94,1575498,2026-09-12T14:30:00+00:00,Nacional,Alverca,NO,,,,
2026-09-11T13:06:24Z,Portugal,Primeira Liga,94,1575495,2026-09-12T17:00:00+00:00,Casa Pia,FC Porto,NO,,,,
2026-09-11T13:06:24Z,Portugal,Primeira Liga,94,1575491,2026-09-12T19:30:00+00:00,Academico Viseu,Vitória SC,NO,,,,
2026-09-11T13:06:24Z,Turkey,Super Lig,203,1584405,2026-09-11T17:00:00+00:00,Beşiktaş,Erzurumspor FK,NO,,,,
2026-09-11T13:06:24Z,Turkey,Super Lig,203,1584406,2026-09-12T14:00:00+00:00,Eyüpspor,Rizespor,NO,,,,
2026-09-11T13:06:24Z,Turkey,Super Lig,203,1584411,2026-09-12T14:00:00+00:00,Samsunspor,Çorum FK,NO,,,,
2026-09-11T13:06:24Z,Scotland,Scottish Premiership,179,1556642,2026-09-15T18:45:00+00:00,Hibernian,Kilmarnock,NO,,,,
2026-09-11T13:06:24Z,Scotland,Scottish Premiership,179,1556643,2026-09-15T18:45:00+00:00,Motherwell,Aberdeen,NO,,,,
2026-09-11T13:06:24Z,Scotland,Scottish Premiership,179,1556641,2026-09-15T18:45:00+00:00,Falkirk,Heart Of Midlothian,NO,,,,
