factor,bucket,scope_type,scope_value,matches,sample_band,home_wins,draws,away_wins,home_win_rate,draw_rate,away_win_rate,avg_total_goals,over25_rate,btts_rate,closing_1x2_matches,closing_1x2_avg_source_rows,closing_1x2_b365_source_rows,closing_home_hit_rate,closing_draw_hit_rate,closing_away_hit_rate,avg_market_novig_home,avg_market_novig_draw,avg_market_novig_away,home_calibration_pp,draw_calibration_pp,away_calibration_pp,home_flat_bet_roi_pct,draw_flat_bet_roi_pct,away_flat_bet_roi_pct,closing_total25_matches,closing_total25_avg_source_rows,closing_total25_b365_source_rows,closing_over25_hit_rate,closing_under25_hit_rate,avg_market_novig_over25,avg_market_novig_under25,over25_calibration_pp,under25_calibration_pp,over25_flat_bet_roi_pct,under25_flat_bet_roi_pct,research_only,operational_betting_authority,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
VENUE_FORM5_PPG_DIFF,HOME_075PLUS_BETTER,LEAGUE_SEASON,E0|2025/2026,94,50_199,46,27,21,0.48936,0.28723,0.2234,2.713,0.52128,0.53191,94,94,0,0.48936,0.28723,0.2234,0.54095,0.23063,0.22841,-5.159,5.66,-0.501,-10.723,21.457,-16.16,94,94,0,0.52128,0.47872,0.56918,0.43082,-4.79,4.79,-13.33,5.596,true,false,false,false,false,false,false
VENUE_FORM5_PPG_DIFF,HOME_075PLUS_BETTER,LEAGUE_SEASON,F1|2017/2018,121,50_199,71,25,25,0.58678,0.20661,0.20661,2.843,0.55372,0.52893,0,0,0,,,,,,,,,,,,,0,0,0,,,,,,,,,true,false,false,false,false,false,false
VENUE_FORM5_PPG_DIFF,HOME_075PLUS_BETTER,LEAGUE_SEASON,F1|2018/2019,115,50_199,57,34,24,0.49565,0.29565,0.2087,2.53,0.47826,0.47826,0,0,0,,,,,,,,,,,,,0,0,0,,,,,,,,,true,false,false,false,false,false,false
VENUE_FORM5_PPG_DIFF,HOME_075PLUS_BETTER,LEAGUE_SEASON,F1|2019/2020,96,50_199,54,24,18,0.5625,0.25,0.1875,2.74,0.5625,0.47917,96,96,0,0.5625,0.25,0.1875,0.51918,0.25858,0.22224,4.332,-0.858,-3.474,1.99,-8.281,-33.427,96,96,0,0.5625,0.4375,0.48061,0.51939,8.189,-8.189,12.167,-21.135,true,false,false,false,false,false,false
VENUE_FORM5_PPG_DIFF,HOME_075PLUS_BETTER,LEAGUE_SEASON,F1|2020/2021,67,50_199,33,17,17,0.49254,0.25373,0.25373,2.94,0.64179,0.61194,67,67,0,0.49254,0.25373,0.25373,0.5419,0.24211,0.21599,-4.936,1.162,3.774,-12.239,0.015,36.881,67,67,0,0.64179,0.35821,0.52923,0.47077,11.256,-11.256,13.851,-30.343,true,false,false,false,false,false,false
VENUE_FORM5_PPG_DIFF,HOME_075PLUS_BETTER,LEAGUE_SEASON,F1|2021/2022,97,50_199,56,22,19,0.57732,0.2268,0.19588,3.103,0.54639,0.54639,97,97,0,0.57732,0.2268,0.19588,0.56017,0.23192,0.20792,1.715,-0.512,-1.204,-0.052,-4.289,-15.402,97,97,0,0.54639,0.45361,0.54984,0.45016,-0.345,0.345,-5.062,-4.814,true,false,false,false,false,false,false
VENUE_FORM5_PPG_DIFF,HOME_075PLUS_BETTER,LEAGUE_SEASON,F1|2022/2023,95,50_199,56,18,21,0.58947,0.18947,0.22105,2.979,0.58947,0.52632,95,95,0,0.58947,0.18947,0.22105,0.5644,0.22717,0.20843,2.507,-3.77,1.262,-3.084,-25.126,-8.263,95,95,0,0.58947,0.41053,0.5504,0.4496,3.907,-3.907,0.211,-17.747,true,false,false,false,false,false,false
VENUE_FORM5_PPG_DIFF,HOME_075PLUS_BETTER,LEAGUE_SEASON,F1|2023/2024,67,50_199,35,20,12,0.52239,0.29851,0.1791,2.806,0.53731,0.59701,67,67,0,0.52239,0.29851,0.1791,0.54081,0.24139,0.2178,-1.842,5.712,-3.87,-11.463,19.791,-30.567,67,67,0,0.53731,0.46269,0.51731,0.48269,2.0,-2.0,-3.284,-12.06,true,false,false,false,false,false,false
VENUE_FORM5_PPG_DIFF,HOME_075PLUS_BETTER,LEAGUE_SEASON,F1|2024/2025,81,50_199,50,14,17,0.61728,0.17284,0.20988,3.0,0.5679,0.59259,81,81,0,0.61728,0.17284,0.20988,0.55898,0.22315,0.21787,5.83,-5.031,-0.799,6.704,-26.926,-1.395,81,81,0,0.5679,0.4321,0.57461,0.42539,-0.671,0.671,-5.086,0.296,true,false,false,false,false,false,false
VENUE_FORM5_PPG_DIFF,HOME_075PLUS_BETTER,LEAGUE_SEASON,F1|2025/2026,90,50_199,44,23,23,0.48889,0.25556,0.25556,2.678,0.46667,0.45556,90,90,0,0.48889,0.25556,0.25556,0.54262,0.23078,0.2266,-5.373,2.478,2.896,-15.289,-0.344,11.022,90,90,0,0.46667,0.53333,0.56014,0.43986,-9.347,9.347,-25.989,7.322,true,false,false,false,false,false,false
