pbk_player_id,pbk_player_name,transfermarkt_player_id,transfermarkt_player_name,pbk_evidence_birth_date,transfermarkt_date_of_birth,mapping_method,mapping_confidence,match_status,source,mapping_version
343562,Luca Lipani,724106,Luca Lipani,2005-05-18,2005-05-18,EXACT_PROFILE_NAME_DOB_CURRENT_CLUB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
343566,Elton Fikaj,937168,Elton Fikaj,,2005-10-18,EXACT_STATS_NAME_CURRENT_CLUB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
343576,Ben Gannon-Doak,719673,Ben Gannon-Doak,2005-11-11,2005-11-11,EXACT_INTERNATIONAL_NAME_PROFILE_DOB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
343684,T. Barry,937941,Thierno Barry,2002-10-21,2002-10-21,EXACT_PROFILE_NAME_DOB_CURRENT_CLUB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
345387,Ivan Lima,931416,Ivan Lima,,2005-01-13,EXACT_STATS_NAME_CURRENT_CLUB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
345426,Henrique Arreiol,905345,Henrique Arreiol,,2005-06-21,EXACT_STATS_NAME_CURRENT_CLUB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
347316,Lucas Bergvall,866246,Lucas Bergvall,2006-02-02,2006-02-02,EXACT_INTERNATIONAL_NAME_PROFILE_DOB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
348205,Petar Sučić,668207,Petar Sučić,2003-10-25,2003-10-25,EXACT_INTERNATIONAL_NAME_PROFILE_DOB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
348568,Alessandro Circati,867137,Alessandro Circati,2003-10-10,2003-10-10,EXACT_INTERNATIONAL_NAME_PROFILE_DOB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
348818,B. Clarke,1005844,Brayden Clarke,2007-07-03,2007-07-03,EXACT_PROFILE_NAME_DOB_CURRENT_CLUB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
348888,M. Kömür,777005,Mert Kömür,2005-07-17,2005-07-17,EXACT_PROFILE_NAME_DOB_CURRENT_CLUB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
349,Aleksa Terzić,404260,Aleksa Terzic,1999-08-17,1999-08-17,EXACT_INTERNATIONAL_NAME_PROFILE_DOB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
349001,Wesley,964580,Wesley,2003-09-06,2003-09-06,EXACT_INTERNATIONAL_NAME_PROFILE_DOB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
349063,Luken Beitia,964190,Luken Beitia,,2004-06-30,EXACT_NAME_CURRENT_CLUB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
349167,Yvan Ikia Dimi,1001785,Yvan Ikia Dimi,,2004-09-26,EXACT_STATS_NAME_CURRENT_CLUB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
349232,A. Dembélé,1004344,Ali Dembélé,2004-01-05,2004-01-05,EXACT_PROFILE_NAME_DOB_CURRENT_CLUB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
349344,L. Jaquez,539798,Luca Jaquez,2003-06-02,2003-06-02,EXACT_PROFILE_NAME_DOB_CURRENT_CLUB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
349560,Nils Rossen,694039,Nils Rossen,,2004-08-01,EXACT_STATS_NAME_CURRENT_CLUB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
350037,Nico Paz,948294,Nico Paz,2004-09-08,2004-09-08,EXACT_INTERNATIONAL_NAME_PROFILE_DOB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
351240,D. van der Haar,640558,Damian van der Haar,,2004-01-16,EXACT_STATS_NAME_CURRENT_CLUB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
351587,Tani Oluwaseyi,972465,Tani Oluwaseyi,2000-05-15,2000-05-15,EXACT_INTERNATIONAL_NAME_PROFILE_DOB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
352225,Nando Verdoni,783017,Nando Verdoni,,2003-07-09,EXACT_STATS_NAME_CURRENT_CLUB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
353634,A. Lebarbier,979325,Alex Lebarbier,2004-08-23,2004-08-23,EXACT_PROFILE_NAME_DOB_CURRENT_CLUB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
353883,Patrick Beach,983578,Patrick Beach,2003-08-06,2003-08-06,EXACT_INTERNATIONAL_NAME_PROFILE_DOB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
354082,Arda Usluoğlu,981928,Arda Usluoğlu,,2006-10-12,EXACT_STATS_NAME_CURRENT_CLUB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
354199,Filip Kocaba,820540,Filip Kocaba,,2004-11-13,EXACT_STATS_NAME_CURRENT_CLUB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
354267,Munashe Garananga,981516,Munashe Garananga,2001-01-18,2001-01-18,EXACT_INTERNATIONAL_NAME_PROFILE_DOB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
355167,Max Finkgräfe,810649,Max Finkgräfe,,2004-03-27,EXACT_NAME_CURRENT_CLUB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
35544,Johan Vásquez,532937,Johan Vásquez,1998-10-22,1998-10-22,EXACT_INTERNATIONAL_NAME_PROFILE_DOB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
356035,Mathias De Amorim,1061975,Mathias de Amorim,,2004-12-10,EXACT_STATS_NAME_CURRENT_CLUB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
356353,Vincent Manuba,747957,Vincent Manuba,,2005-07-01,EXACT_NAME_CURRENT_CLUB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
357238,Keehan Willows,994594,Keehan Willows,,2005-10-01,EXACT_NAME_CURRENT_CLUB,HIGH,AUTO_MATCH,stage80_transfer_entity_mapping,PBK_STAGE80_TRANSFER_ENTITY_MAPPING_V4_INTERNATIONAL_NAME_PROFILE_DOB
