market_key,api_fixture_id,league,league_id,captured_at_utc,kickoff_utc,home_team,away_team,team_side,team_name,line,bet_id,bet_name,open_b365_over,open_b365_under,open_p_over,open_p_under,status,source
TT|1557399|A|0.5,1557399,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T14:00:00Z,Chelsea,Hull City,A,Hull City,0.5,17,Total - Away,1.8,1.91,0.51482480,0.48517520,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557399|A|1.5,1557399,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T14:00:00Z,Chelsea,Hull City,A,Hull City,1.5,17,Total - Away,5.0,1.17,0.18962723,0.81037277,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557399|A|2.5,1557399,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T14:00:00Z,Chelsea,Hull City,A,Hull City,2.5,17,Total - Away,19.0,1.02,0.05094905,0.94905095,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557401|H|0.5,1557401,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T14:00:00Z,Crystal Palace,Ipswich,H,Crystal Palace,0.5,16,Total - Home,1.17,5.0,0.81037277,0.18962723,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557401|H|1.5,1557401,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T14:00:00Z,Crystal Palace,Ipswich,H,Crystal Palace,1.5,16,Total - Home,1.8,1.91,0.51482480,0.48517520,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557401|H|2.5,1557401,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T14:00:00Z,Crystal Palace,Ipswich,H,Crystal Palace,2.5,16,Total - Home,3.5,1.28,0.26778243,0.73221757,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557401|H|3.5,1557401,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T14:00:00Z,Crystal Palace,Ipswich,H,Crystal Palace,3.5,16,Total - Home,9.0,1.07,0.10625621,0.89374379,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557401|H|4.5,1557401,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T14:00:00Z,Crystal Palace,Ipswich,H,Crystal Palace,4.5,16,Total - Home,21.0,1.01,0.04588823,0.95411177,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557401|A|0.5,1557401,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T14:00:00Z,Crystal Palace,Ipswich,A,Ipswich,0.5,17,Total - Away,1.4,2.75,0.66265060,0.33734940,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557401|A|1.5,1557401,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T14:00:00Z,Crystal Palace,Ipswich,A,Ipswich,1.5,17,Total - Away,3.0,1.36,0.31192661,0.68807339,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
