fixture_id,provider_league_id,league_name,season,round,kickoff_utc,home_team,away_team,source_status,first_queued_at_utc,last_seen_at_utc,backlog_status,captured_at_utc,queue_source,attempt_count,last_attempt_at_utc,last_attempt_result
1584419,203,Süper Lig,2026,Regular Season - 6,2026-09-19T14:00:00+00:00,Kocaelispor,Gaziantep FK,FT,2026-09-19T16:27:35Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T17:25:46Z,current_round_terminal_fixture,1,2026-09-19T17:25:46Z,CAPTURED
1570393,140,La Liga,2026,Regular Season - 7,2026-09-19T14:15:00+00:00,Athletic Club,Alaves,FT,2026-09-19T16:27:35Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T17:25:46Z,current_round_terminal_fixture,1,2026-09-19T17:25:46Z,CAPTURED
1552172,88,Eredivisie,2026,Regular Season - 7,2026-09-19T14:30:00+00:00,ADO Den Haag,Cambuur,FT,2026-09-19T17:25:46Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T17:25:46Z,current_round_terminal_fixture,1,2026-09-19T17:25:46Z,CAPTURED
1575504,94,Primeira Liga,2026,Regular Season - 7,2026-09-19T14:30:00+00:00,GIL Vicente,Maritimo,FT,2026-09-19T16:27:35Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T17:25:46Z,current_round_terminal_fixture,1,2026-09-19T17:25:46Z,CAPTURED
1575505,94,Primeira Liga,2026,Regular Season - 7,2026-09-19T14:30:00+00:00,Nacional,Famalicao,FT,2026-09-19T16:27:35Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T17:25:46Z,current_round_terminal_fixture,1,2026-09-19T17:25:46Z,CAPTURED
1561930,218,Bundesliga,2026,Regular Season - 7,2026-09-19T15:00:00+00:00,Austria Lustenau,SCR Altach,FT,2026-09-19T17:25:46Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T17:25:46Z,current_round_terminal_fixture,1,2026-09-19T17:25:46Z,CAPTURED
1552771,61,Ligue 1,2026,Regular Season - 5,2026-09-19T15:15:00+00:00,Paris FC,Strasbourg,FT,2026-09-19T17:25:46Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T17:25:46Z,current_round_terminal_fixture,1,2026-09-19T17:25:46Z,CAPTURED
1553173,106,Ekstraklasa,2026,Regular Season - 9,2026-09-19T15:30:00+00:00,GKS Katowice,Cracovia Krakow,FT,2026-09-19T17:25:46Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T17:25:46Z,current_round_terminal_fixture,1,2026-09-19T17:25:46Z,CAPTURED
1494766,103,Eliteserien,2026,Regular Season - 22,2026-09-19T16:00:00+00:00,Molde,Aalesund,FT,2026-09-19T19:24:40Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T19:24:40Z,current_round_terminal_fixture,1,2026-09-19T19:24:40Z,CAPTURED
1549025,119,Superliga,2026,Regular Season - 9,2026-09-19T16:00:00+00:00,Odense,FC Midtjylland,FT,2026-09-19T19:24:40Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T19:24:40Z,current_round_terminal_fixture,1,2026-09-19T19:24:40Z,CAPTURED
1550128,135,Serie A,2026,Regular Season - 5,2026-09-19T16:00:00+00:00,AS Roma,Inter,FT,2026-09-19T19:24:40Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T19:24:40Z,current_round_terminal_fixture,1,2026-09-19T19:24:40Z,CAPTURED
1558637,144,Jupiler Pro League,2026,Regular Season - 7,2026-09-19T16:15:00+00:00,Charleroi,Cercle Brugge,FT,2026-09-19T19:24:40Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T19:24:40Z,current_round_terminal_fixture,1,2026-09-19T19:24:40Z,CAPTURED
1547636,362,A Lyga,2026,Regular Season - 32,2026-09-19T16:30:00+00:00,TransINVEST Vilnius,FK Zalgiris Vilnius,FT,2026-09-19T19:24:40Z,2026-09-20T16:28:28Z,PENDING,,current_round_terminal_fixture,3,2026-09-20T13:27:36Z,NO_DATA
1557415,39,Premier League,2026,Regular Season - 5,2026-09-19T16:30:00+00:00,Nottingham Forest,Coventry,FT,2026-09-19T19:24:40Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T19:24:40Z,current_round_terminal_fixture,1,2026-09-19T19:24:40Z,CAPTURED
1570395,140,La Liga,2026,Regular Season - 7,2026-09-19T16:30:00+00:00,Celta Vigo,Racing Santander,FT,2026-09-19T19:24:40Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T19:24:40Z,current_round_terminal_fixture,1,2026-09-19T19:24:40Z,CAPTURED
1575168,78,Bundesliga,2026,Regular Season - 4,2026-09-19T16:30:00+00:00,VfB Stuttgart,Borussia Dortmund,FT,2026-09-19T19:24:40Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T19:24:40Z,current_round_terminal_fixture,1,2026-09-19T19:24:40Z,CAPTURED
1552171,88,Eredivisie,2026,Regular Season - 7,2026-09-19T16:45:00+00:00,Sparta Rotterdam,Heerenveen,FT,2026-09-19T19:24:40Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T19:24:40Z,current_round_terminal_fixture,1,2026-09-19T19:24:40Z,CAPTURED
1556666,179,Premiership,2026,Regular Season - 7,2026-09-19T16:45:00+00:00,Kilmarnock,Heart Of Midlothian,FT,2026-09-19T19:24:40Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T19:24:40Z,current_round_terminal_fixture,1,2026-09-19T19:24:40Z,CAPTURED
1575500,94,Primeira Liga,2026,Regular Season - 7,2026-09-19T17:00:00+00:00,Alverca,Rio Ave,FT,2026-09-19T19:24:40Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T19:24:40Z,current_round_terminal_fixture,1,2026-09-19T19:24:40Z,CAPTURED
1584413,203,Süper Lig,2026,Regular Season - 6,2026-09-19T17:00:00+00:00,Başakşehir,Gençlerbirliği S.K.,FT,2026-09-19T19:24:40Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T19:24:40Z,current_round_terminal_fixture,1,2026-09-19T19:24:40Z,CAPTURED
1584420,203,Süper Lig,2026,Regular Season - 6,2026-09-19T17:00:00+00:00,Trabzonspor,Galatasaray,FT,2026-09-19T19:24:40Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T20:27:11Z,current_round_terminal_fixture,1,2026-09-19T20:27:11Z,CAPTURED
1561931,218,Bundesliga,2026,Regular Season - 7,2026-09-19T17:30:00+00:00,Grazer AK,Austria Vienna,FT,2026-09-19T19:24:40Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T20:27:11Z,current_round_terminal_fixture,1,2026-09-19T20:27:11Z,CAPTURED
1552174,88,Eredivisie,2026,Regular Season - 7,2026-09-19T18:00:00+00:00,Ajax,Excelsior,FT,2026-09-19T20:27:11Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T20:27:11Z,current_round_terminal_fixture,1,2026-09-19T20:27:11Z,CAPTURED
1553177,106,Ekstraklasa,2026,Regular Season - 9,2026-09-19T18:15:00+00:00,Motor Lublin,Gornik Zabrze,FT,2026-09-19T20:27:11Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T20:27:11Z,current_round_terminal_fixture,1,2026-09-19T20:27:11Z,CAPTURED
1550136,135,Serie A,2026,Regular Season - 5,2026-09-19T18:45:00+00:00,Venezia,Lazio,FT,2026-09-19T21:26:08Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T21:26:08Z,current_round_terminal_fixture,1,2026-09-19T21:26:08Z,CAPTURED
1552765,61,Ligue 1,2026,Regular Season - 5,2026-09-19T18:45:00+00:00,Angers,Estac Troyes,FT,2026-09-19T21:26:08Z,2026-09-20T16:28:28Z,CAPTURED,2026-09-19T21:26:08Z,current_round_terminal_fixture,1,2026-09-19T21:26:08Z,CAPTURED
