competition_role,country,slot,provider_competition_id,competition_name,season,provider_season_available,status,attempt_count,last_attempt_at_utc,provider_fixture_rows,error
DOMESTIC_LEAGUE,Germany,LEAGUE,78,Bundesliga,2019,true,CAPTURED,1,2026-09-19T07:53:17Z,308,
DOMESTIC_LEAGUE,Germany,LEAGUE,78,Bundesliga,2020,true,CAPTURED,1,2026-09-19T07:53:19Z,308,
DOMESTIC_LEAGUE,Germany,LEAGUE,78,Bundesliga,2021,true,CAPTURED,1,2026-09-19T07:53:20Z,308,
DOMESTIC_LEAGUE,Germany,LEAGUE,78,Bundesliga,2022,true,CAPTURED,1,2026-09-19T07:53:21Z,308,
DOMESTIC_LEAGUE,Germany,LEAGUE,78,Bundesliga,2023,true,CAPTURED,1,2026-09-19T07:53:22Z,308,
DOMESTIC_LEAGUE,Germany,LEAGUE,78,Bundesliga,2024,true,CAPTURED,1,2026-09-19T07:53:23Z,308,
DOMESTIC_LEAGUE,Germany,LEAGUE,78,Bundesliga,2025,true,CAPTURED,1,2026-09-19T07:53:25Z,308,
DOMESTIC_LEAGUE,Italy,LEAGUE,135,Serie A,2017,true,CAPTURED,1,2026-09-19T07:53:26Z,380,
DOMESTIC_LEAGUE,Italy,LEAGUE,135,Serie A,2018,true,CAPTURED,1,2026-09-19T07:53:27Z,380,
DOMESTIC_LEAGUE,Italy,LEAGUE,135,Serie A,2019,true,CAPTURED,1,2026-09-19T07:53:29Z,380,
DOMESTIC_LEAGUE,Italy,LEAGUE,135,Serie A,2020,true,CAPTURED,1,2026-09-19T07:53:30Z,380,
DOMESTIC_LEAGUE,Italy,LEAGUE,135,Serie A,2021,true,CAPTURED,1,2026-09-19T07:53:31Z,380,
DOMESTIC_LEAGUE,Italy,LEAGUE,135,Serie A,2022,true,CAPTURED,1,2026-09-19T07:53:32Z,381,
DOMESTIC_LEAGUE,Italy,LEAGUE,135,Serie A,2023,true,CAPTURED,1,2026-09-19T07:53:34Z,380,
DOMESTIC_LEAGUE,Italy,LEAGUE,135,Serie A,2024,true,CAPTURED,1,2026-09-19T07:53:35Z,380,
DOMESTIC_LEAGUE,Italy,LEAGUE,135,Serie A,2025,true,CAPTURED,1,2026-09-19T07:53:36Z,380,
DOMESTIC_LEAGUE,Latvia,LEAGUE,365,Virsliga,2017,true,CAPTURED,1,2026-09-19T07:53:37Z,112,
DOMESTIC_LEAGUE,Latvia,LEAGUE,365,Virsliga,2018,true,CAPTURED,1,2026-09-19T07:53:39Z,112,
DOMESTIC_LEAGUE,Latvia,LEAGUE,365,Virsliga,2019,true,CAPTURED,1,2026-09-19T07:53:41Z,144,
DOMESTIC_LEAGUE,Latvia,LEAGUE,365,Virsliga,2020,true,CAPTURED,1,2026-09-19T07:53:43Z,135,
DOMESTIC_LEAGUE,Latvia,LEAGUE,365,Virsliga,2021,true,CAPTURED,1,2026-09-19T07:53:44Z,295,
DOMESTIC_LEAGUE,Latvia,LEAGUE,365,Virsliga,2022,true,CAPTURED,1,2026-09-19T07:53:46Z,180,
DOMESTIC_LEAGUE,Latvia,LEAGUE,365,Virsliga,2023,true,CAPTURED,1,2026-09-19T07:53:48Z,182,
DOMESTIC_LEAGUE,Latvia,LEAGUE,365,Virsliga,2024,true,CAPTURED,1,2026-09-19T07:53:50Z,180,
DOMESTIC_LEAGUE,Latvia,LEAGUE,365,Virsliga,2025,true,CAPTURED,1,2026-09-19T07:53:52Z,182,
DOMESTIC_LEAGUE,Lithuania,LEAGUE,362,A Lyga,2017,true,CAPTURED,1,2026-09-19T07:53:53Z,127,
DOMESTIC_LEAGUE,Lithuania,LEAGUE,362,A Lyga,2018,true,CAPTURED,1,2026-09-19T07:53:56Z,127,
DOMESTIC_LEAGUE,Lithuania,LEAGUE,362,A Lyga,2019,true,CAPTURED,1,2026-09-19T07:53:58Z,127,
DOMESTIC_LEAGUE,Lithuania,LEAGUE,362,A Lyga,2020,true,CAPTURED,1,2026-09-19T07:54:00Z,60,
DOMESTIC_LEAGUE,Lithuania,LEAGUE,362,A Lyga,2021,true,CAPTURED,1,2026-09-19T07:54:02Z,180,
DOMESTIC_LEAGUE,Lithuania,LEAGUE,362,A Lyga,2022,true,CAPTURED,1,2026-09-19T07:54:04Z,180,
DOMESTIC_LEAGUE,Lithuania,LEAGUE,362,A Lyga,2023,true,CAPTURED,1,2026-09-19T07:54:06Z,182,
DOMESTIC_LEAGUE,Lithuania,LEAGUE,362,A Lyga,2024,true,CAPTURED,1,2026-09-19T07:54:08Z,182,
DOMESTIC_LEAGUE,Lithuania,LEAGUE,362,A Lyga,2025,true,CAPTURED,1,2026-09-19T07:54:09Z,182,
DOMESTIC_LEAGUE,Netherlands,LEAGUE,88,Eredivisie,2017,true,CAPTURED,1,2026-09-19T07:54:11Z,312,
DOMESTIC_LEAGUE,Netherlands,LEAGUE,88,Eredivisie,2018,true,CAPTURED,1,2026-09-19T07:54:13Z,312,
DOMESTIC_LEAGUE,Netherlands,LEAGUE,88,Eredivisie,2019,true,CAPTURED,1,2026-09-19T07:54:15Z,306,
DOMESTIC_LEAGUE,Netherlands,LEAGUE,88,Eredivisie,2020,true,CAPTURED,1,2026-09-19T07:54:17Z,315,
