fixture_id,captured_at_utc,kickoff_utc,team_id,team_name,player_id,player_name,availability_type,reason,source_dataset,source_snapshot_type,archive_version
1550124,2026-09-13T12:48:36Z,2026-09-13T18:45:00Z,496,Juventus,30533,M. Locatelli,Missing Fixture,Knee Injury,match_context_snapshots,T3,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
1550124,2026-09-13T12:48:36Z,2026-09-13T18:45:00Z,496,Juventus,333,A. Milik,Missing Fixture,Inactive,match_context_snapshots,T3,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
1550124,2026-09-13T12:48:36Z,2026-09-13T18:45:00Z,496,Juventus,339883,K. Yildiz,Missing Fixture,Foot Injury,match_context_snapshots,T3,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
1550124,2026-09-13T12:48:36Z,2026-09-13T18:45:00Z,496,Juventus,415,W. McKennie,Questionable,Muscle Injury,match_context_snapshots,T3,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
1550124,2026-09-13T12:48:36Z,2026-09-13T18:45:00Z,496,Juventus,451504,J. Ekhator,Missing Fixture,Muscle Injury,match_context_snapshots,T3,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
1550125,2026-09-13T11:14:53Z,2026-09-14T16:30:00Z,497,AS Roma,626686,M. Bah,Missing Fixture,Knee Injury,match_context_snapshots,T24,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
1550125,2026-09-13T11:14:53Z,2026-09-14T16:30:00Z,497,AS Roma,782,L. Pellegrini,Missing Fixture,Thigh Injury,match_context_snapshots,T24,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
1550125,2026-09-13T11:14:53Z,2026-09-14T16:30:00Z,503,Torino,122468,S. Coco,Questionable,Injury,match_context_snapshots,T24,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
1550125,2026-09-13T11:14:53Z,2026-09-14T16:30:00Z,503,Torino,123,P. Pellegri,Missing Fixture,Knee Injury,match_context_snapshots,T24,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
1550125,2026-09-13T11:14:53Z,2026-09-14T16:30:00Z,503,Torino,270507,C. Casadei,Questionable,Rest,match_context_snapshots,T24,PBK_STAGE80_LINEUP_INJURY_ARCHIVE_V1
