fixture_id,provider_league_id,league_name,season,round,kickoff_utc,home_team,away_team,source_status,first_queued_at_utc,last_seen_at_utc,backlog_status,captured_at_utc,queue_source,attempt_count,last_attempt_at_utc,last_attempt_result
1558636,144,Jupiler Pro League,2026,Regular Season - 7,2026-09-19T14:00:00+00:00,OH Leuven,RAAL La Louvière,FT,2026-09-19T16:51:10Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-19T20:50:07Z,current_round_terminal_fixture,1,2026-09-19T20:50:07Z,CAPTURED
1584414,203,Süper Lig,2026,Regular Season - 6,2026-09-19T14:00:00+00:00,Çorum FK,Alanyaspor,FT,2026-09-19T16:51:10Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-19T20:50:07Z,current_round_terminal_fixture,1,2026-09-19T20:50:07Z,CAPTURED
1584419,203,Süper Lig,2026,Regular Season - 6,2026-09-19T14:00:00+00:00,Kocaelispor,Gaziantep FK,FT,2026-09-19T16:51:10Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-19T20:50:07Z,current_round_terminal_fixture,1,2026-09-19T20:50:07Z,CAPTURED
1570393,140,La Liga,2026,Regular Season - 7,2026-09-19T14:15:00+00:00,Athletic Club,Alaves,FT,2026-09-19T16:51:10Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-19T20:50:07Z,current_round_terminal_fixture,1,2026-09-19T20:50:07Z,CAPTURED
1552172,88,Eredivisie,2026,Regular Season - 7,2026-09-19T14:30:00+00:00,ADO Den Haag,Cambuur,FT,2026-09-19T18:51:26Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-19T20:50:07Z,current_round_terminal_fixture,1,2026-09-19T20:50:07Z,CAPTURED
1575504,94,Primeira Liga,2026,Regular Season - 7,2026-09-19T14:30:00+00:00,GIL Vicente,Maritimo,FT,2026-09-19T16:51:10Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-19T20:50:07Z,current_round_terminal_fixture,1,2026-09-19T20:50:07Z,CAPTURED
1575505,94,Primeira Liga,2026,Regular Season - 7,2026-09-19T14:30:00+00:00,Nacional,Famalicao,FT,2026-09-19T16:51:10Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-19T20:50:07Z,current_round_terminal_fixture,1,2026-09-19T20:50:07Z,CAPTURED
1561930,218,Bundesliga,2026,Regular Season - 7,2026-09-19T15:00:00+00:00,Austria Lustenau,SCR Altach,FT,2026-09-19T18:51:26Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-19T20:50:07Z,current_round_terminal_fixture,1,2026-09-19T20:50:07Z,CAPTURED
1552771,61,Ligue 1,2026,Regular Season - 5,2026-09-19T15:15:00+00:00,Paris FC,Strasbourg,FT,2026-09-19T18:51:26Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T04:52:07Z,current_round_terminal_fixture,2,2026-09-20T04:52:07Z,CAPTURED
1553173,106,Ekstraklasa,2026,Regular Season - 9,2026-09-19T15:30:00+00:00,GKS Katowice,Cracovia Krakow,FT,2026-09-19T18:51:26Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T04:52:07Z,current_round_terminal_fixture,2,2026-09-20T04:52:07Z,CAPTURED
1494766,103,Eliteserien,2026,Regular Season - 22,2026-09-19T16:00:00+00:00,Molde,Aalesund,FT,2026-09-19T20:50:07Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T04:52:07Z,current_round_terminal_fixture,2,2026-09-20T04:52:07Z,CAPTURED
1549025,119,Superliga,2026,Regular Season - 9,2026-09-19T16:00:00+00:00,Odense,FC Midtjylland,FT,2026-09-19T20:50:07Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T04:52:07Z,current_round_terminal_fixture,2,2026-09-20T04:52:07Z,CAPTURED
1550128,135,Serie A,2026,Regular Season - 5,2026-09-19T16:00:00+00:00,AS Roma,Inter,FT,2026-09-19T20:50:07Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T06:53:52Z,current_round_terminal_fixture,2,2026-09-20T06:53:52Z,CAPTURED
1558637,144,Jupiler Pro League,2026,Regular Season - 7,2026-09-19T16:15:00+00:00,Charleroi,Cercle Brugge,FT,2026-09-19T20:50:07Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T06:53:52Z,current_round_terminal_fixture,2,2026-09-20T06:53:52Z,CAPTURED
1547636,362,A Lyga,2026,Regular Season - 32,2026-09-19T16:30:00+00:00,TransINVEST Vilnius,FK Zalgiris Vilnius,FT,2026-09-19T20:50:07Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T06:53:52Z,current_round_terminal_fixture,2,2026-09-20T06:53:52Z,CAPTURED
1557415,39,Premier League,2026,Regular Season - 5,2026-09-19T16:30:00+00:00,Nottingham Forest,Coventry,FT,2026-09-19T20:50:07Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T06:53:52Z,current_round_terminal_fixture,2,2026-09-20T06:53:52Z,CAPTURED
1570395,140,La Liga,2026,Regular Season - 7,2026-09-19T16:30:00+00:00,Celta Vigo,Racing Santander,FT,2026-09-19T20:50:07Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T00:54:51Z,current_round_terminal_fixture,1,2026-09-20T00:54:51Z,CAPTURED
1575168,78,Bundesliga,2026,Regular Season - 4,2026-09-19T16:30:00+00:00,VfB Stuttgart,Borussia Dortmund,FT,2026-09-19T20:50:07Z,2026-09-20T12:53:35Z,CAPTURED,2026-09-20T00:54:51Z,current_round_terminal_fixture,1,2026-09-20T00:54:51Z,CAPTURED
