factor,bucket,scope_type,scope_value,seasons_with_matches,total_matches,min_season_matches,max_season_matches,home_roi_observed_seasons,home_roi_positive_seasons,draw_roi_observed_seasons,draw_roi_positive_seasons,away_roi_observed_seasons,away_roi_positive_seasons,over25_roi_observed_seasons,over25_roi_positive_seasons,under25_roi_observed_seasons,under25_roi_positive_seasons,home_calibration_observed_seasons,home_calibration_positive_seasons,away_calibration_observed_seasons,away_calibration_positive_seasons,over25_calibration_observed_seasons,over25_calibration_positive_seasons,research_only,operational_betting_authority,creates_signal,promotes_factor
DOMESTIC_CUP_72H_SIDE,HOME_ONLY,LEAGUE,NOR,5,9,1,3,5,3,5,1,5,1,0,0,0,0,5,3,5,2,0,0,true,false,false,false
DOMESTIC_CUP_72H_SIDE,HOME_ONLY,LEAGUE,P1,6,13,1,4,5,4,5,0,5,0,5,2,5,3,5,5,5,2,5,2,true,false,false,false
DOMESTIC_CUP_72H_SIDE,HOME_ONLY,LEAGUE,POL,7,21,1,5,7,4,7,2,7,4,0,0,0,0,7,4,7,4,0,0,true,false,false,false
DOMESTIC_CUP_72H_SIDE,HOME_ONLY,LEAGUE,SC0,8,14,1,3,6,2,6,3,6,4,6,3,6,3,6,2,6,4,6,3,true,false,false,false
DOMESTIC_CUP_72H_SIDE,HOME_ONLY,LEAGUE,SP1,8,90,6,18,7,6,7,1,7,1,7,2,7,4,7,6,7,2,7,3,true,false,false,false
DOMESTIC_CUP_72H_SIDE,HOME_ONLY,LEAGUE,T1,9,52,1,11,7,1,7,2,7,2,7,2,7,4,7,4,7,2,7,2,true,false,false,false
DOMESTIC_CUP_72H_SIDE,NEITHER,ALL,ALL,9,35933,3748,4139,9,0,9,0,9,0,7,0,7,0,9,5,9,2,7,5,true,false,false,false
DOMESTIC_CUP_72H_SIDE,NEITHER,LEAGUE,AUT,9,1666,171,191,9,1,9,3,9,1,0,0,0,0,9,3,9,6,0,0,true,false,false,false
DOMESTIC_CUP_72H_SIDE,NEITHER,LEAGUE,B1,9,2449,211,298,7,1,7,1,7,2,7,1,7,1,7,3,7,5,7,2,true,false,false,false
DOMESTIC_CUP_72H_SIDE,NEITHER,LEAGUE,D1,9,2643,291,297,7,3,7,4,7,2,7,1,7,0,7,3,7,3,7,6,true,false,false,false
DOMESTIC_CUP_72H_SIDE,NEITHER,LEAGUE,DNK,9,1792,180,233,9,3,9,3,9,0,0,0,0,0,9,4,9,2,0,0,true,false,false,false
DOMESTIC_CUP_72H_SIDE,NEITHER,LEAGUE,E0,9,3244,354,364,7,2,7,2,7,2,7,1,7,2,7,4,7,4,7,3,true,false,false,false
DOMESTIC_CUP_72H_SIDE,NEITHER,LEAGUE,F1,9,2987,257,376,7,2,7,1,7,3,7,2,7,0,7,3,7,5,7,4,true,false,false,false
DOMESTIC_CUP_72H_SIDE,NEITHER,LEAGUE,I1,9,3332,364,375,7,0,7,2,7,3,7,1,7,1,7,0,7,5,7,4,true,false,false,false
DOMESTIC_CUP_72H_SIDE,NEITHER,LEAGUE,N1,9,2523,214,295,7,1,7,5,7,1,7,1,7,1,7,1,7,2,7,3,true,false,false,false
DOMESTIC_CUP_72H_SIDE,NEITHER,LEAGUE,NOR,9,2111,228,240,9,2,9,2,9,1,0,0,0,0,9,6,9,4,0,0,true,false,false,false
DOMESTIC_CUP_72H_SIDE,NEITHER,LEAGUE,P1,9,2720,297,306,7,1,7,1,7,0,7,1,7,1,7,4,7,4,7,4,true,false,false,false
DOMESTIC_CUP_72H_SIDE,NEITHER,LEAGUE,POL,8,2301,235,300,8,1,8,1,8,0,0,0,0,0,8,7,8,2,0,0,true,false,false,false
DOMESTIC_CUP_72H_SIDE,NEITHER,LEAGUE,SC0,9,1963,173,228,7,2,7,2,7,1,7,3,7,1,7,6,7,1,7,4,true,false,false,false
DOMESTIC_CUP_72H_SIDE,NEITHER,LEAGUE,SP1,9,3200,339,380,7,2,7,3,7,0,7,1,7,1,7,3,7,1,7,3,true,false,false,false
DOMESTIC_CUP_72H_SIDE,NEITHER,LEAGUE,T1,9,3002,287,408,7,0,7,1,7,0,7,0,7,1,7,4,7,1,7,3,true,false,false,false
DOMESTIC_CUP_96H_SIDE,AWAY_ONLY,ALL,ALL,9,1073,99,142,9,2,9,4,9,3,7,3,7,0,9,4,9,4,7,6,true,false,false,false
DOMESTIC_CUP_96H_SIDE,AWAY_ONLY,LEAGUE,AUT,9,42,1,11,9,2,9,2,9,7,0,0,0,0,9,2,9,8,0,0,true,false,false,false
DOMESTIC_CUP_96H_SIDE,AWAY_ONLY,LEAGUE,B1,7,45,3,11,7,3,7,2,7,3,7,3,7,2,7,3,7,4,7,3,true,false,false,false
DOMESTIC_CUP_96H_SIDE,AWAY_ONLY,LEAGUE,D1,9,69,3,14,7,5,7,3,7,1,7,4,7,3,7,4,7,1,7,4,true,false,false,false
DOMESTIC_CUP_96H_SIDE,AWAY_ONLY,LEAGUE,DNK,9,56,4,10,9,1,9,6,9,2,0,0,0,0,9,4,9,3,0,0,true,false,false,false
DOMESTIC_CUP_96H_SIDE,AWAY_ONLY,LEAGUE,E0,9,135,9,19,7,4,7,2,7,3,7,4,7,2,7,5,7,2,7,5,true,false,false,false
DOMESTIC_CUP_96H_SIDE,AWAY_ONLY,LEAGUE,F1,9,101,4,20,7,4,7,3,7,1,7,4,7,3,7,3,7,2,7,4,true,false,false,false
DOMESTIC_CUP_96H_SIDE,AWAY_ONLY,LEAGUE,I1,9,95,7,16,7,5,7,3,7,2,7,4,7,3,7,5,7,3,7,4,true,false,false,false
DOMESTIC_CUP_96H_SIDE,AWAY_ONLY,LEAGUE,N1,9,79,6,12,7,2,7,3,7,3,7,5,7,2,7,3,7,3,7,5,true,false,false,false
DOMESTIC_CUP_96H_SIDE,AWAY_ONLY,LEAGUE,NOR,6,31,1,9,6,4,6,2,6,3,0,0,0,0,6,3,6,2,0,0,true,false,false,false
DOMESTIC_CUP_96H_SIDE,AWAY_ONLY,LEAGUE,P1,9,73,5,14,7,1,7,4,7,3,7,3,7,4,7,3,7,4,7,3,true,false,false,false
DOMESTIC_CUP_96H_SIDE,AWAY_ONLY,LEAGUE,POL,7,69,5,17,7,1,7,4,7,4,0,0,0,0,7,1,7,4,0,0,true,false,false,false
DOMESTIC_CUP_96H_SIDE,AWAY_ONLY,LEAGUE,SC0,8,37,2,7,6,3,6,5,6,0,6,3,6,1,6,3,6,0,6,5,true,false,false,false
DOMESTIC_CUP_96H_SIDE,AWAY_ONLY,LEAGUE,SP1,8,110,12,16,7,2,7,3,7,5,7,2,7,4,7,3,7,5,7,3,true,false,false,false
DOMESTIC_CUP_96H_SIDE,AWAY_ONLY,LEAGUE,T1,9,131,10,21,7,1,7,4,7,3,7,2,7,2,7,2,7,4,7,3,true,false,false,false
DOMESTIC_CUP_96H_SIDE,BOTH,ALL,ALL,9,935,73,138,9,3,9,5,9,2,7,3,7,2,9,5,9,3,7,5,true,false,false,false
DOMESTIC_CUP_96H_SIDE,BOTH,LEAGUE,AUT,9,58,1,11,9,0,9,8,9,2,0,0,0,0,9,2,9,4,0,0,true,false,false,false
DOMESTIC_CUP_96H_SIDE,BOTH,LEAGUE,B1,7,87,8,16,7,1,7,5,7,2,7,2,7,5,7,2,7,2,7,2,true,false,false,false
DOMESTIC_CUP_96H_SIDE,BOTH,LEAGUE,D1,9,69,3,11,7,2,7,2,7,2,7,4,7,2,7,3,7,2,7,5,true,false,false,false
DOMESTIC_CUP_96H_SIDE,BOTH,LEAGUE,DNK,9,44,2,7,9,6,9,3,9,3,0,0,0,0,9,6,9,4,0,0,true,false,false,false
DOMESTIC_CUP_96H_SIDE,BOTH,LEAGUE,E0,9,139,11,18,7,4,7,2,7,4,7,2,7,2,7,5,7,3,7,4,true,false,false,false
DOMESTIC_CUP_96H_SIDE,BOTH,LEAGUE,F1,9,60,2,14,7,2,7,3,7,4,7,4,7,3,7,3,7,4,7,4,true,false,false,false
DOMESTIC_CUP_96H_SIDE,BOTH,LEAGUE,I1,9,25,1,5,7,3,7,4,7,1,7,2,7,4,7,3,7,3,7,4,true,false,false,false
DOMESTIC_CUP_96H_SIDE,BOTH,LEAGUE,N1,9,86,2,15,7,3,7,4,7,1,7,2,7,4,7,3,7,1,7,2,true,false,false,false
DOMESTIC_CUP_96H_SIDE,BOTH,LEAGUE,NOR,6,78,3,19,6,3,6,3,6,3,0,0,0,0,6,3,6,3,0,0,true,false,false,false
