venue_id,venue_name,venue_city,team_country,latitude,longitude,elevation_m,geocoded_name,geocoded_country,geocoded_country_code,geocoded_admin1,geocoded_population,geocoded_feature_code,geocode_quality_status,geocode_name_match_quality,geocode_query_used,resolver_version,captured_at_utc,source
22306,EXBUD Arena,Kielce,Poland,50.87,20.628,267,Kielce,Poland,PL,Świętokrzyskie,192468,PPLA,VERIFIED_LOCALITY_V4,3,Kielce,PBK_GEOCODE_V4,2026-09-25T11:05:02Z,Open-Meteo Geocoding API city proxy v4
22441,Gürsel Aksel Stadyumu,İzmir,Turkey,38.413,27.138,122,Izmir,Republic of Türkiye,TR,İzmir Province,2938292,PPLA,VERIFIED_LOCALITY_V4,3,İzmir,PBK_GEOCODE_V4,2026-09-25T11:05:02Z,Open-Meteo Geocoding API city proxy v4
22465,GAIN Park Stadium,Antalya,Turkey,36.908,30.696,61,Antalya,Republic of Türkiye,TR,Antalya,1335002,PPLA,VERIFIED_LOCALITY_V4,3,Antalya,PBK_GEOCODE_V4,2026-09-25T15:36:21Z,Open-Meteo Geocoding API city proxy v4
22596,Arena Katowice,Katowice,Poland,50.26,19.022,276,Katowice,Poland,PL,Silesia,286960,PPLA,VERIFIED_LOCALITY_V4,3,Katowice,PBK_GEOCODE_V4,2026-09-25T11:05:02Z,Open-Meteo Geocoding API city proxy v4
22597,Motor Lublin Arena,Lublin,Poland,51.251,22.57,184,Lublin,Poland,PL,Lublin,336339,PPLA,VERIFIED_LOCALITY_V4,3,Lublin,PBK_GEOCODE_V4,2026-09-25T11:05:02Z,Open-Meteo Geocoding API city proxy v4
22604,Campo Municipal dos Prazeres,Amadora,Portugal,38.754,-9.231,138,Amadora,Portugal,PT,Lisbon District,178858,PPL,VERIFIED_LOCALITY_V4,3,Amadora,PBK_GEOCODE_V4,2026-09-25T11:05:02Z,Open-Meteo Geocoding API city proxy v4
22760,Chobani Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi,İstanbul,Turkey,41.014,28.95,39,Istanbul,Republic of Türkiye,TR,Istanbul,15701602,PPLA,VERIFIED_LOCALITY_V4,3,İstanbul,PBK_GEOCODE_V4,2026-09-25T11:05:02Z,Open-Meteo Geocoding API city proxy v4
22761,RAMS Park,İstanbul,Turkey,41.014,28.95,39,Istanbul,Republic of Türkiye,TR,Istanbul,15701602,PPLA,VERIFIED_LOCALITY_V4,3,İstanbul,PBK_GEOCODE_V4,2026-09-25T15:34:58Z,Open-Meteo Geocoding API city proxy v4
22762,Medaş Konya Büyükşehir Stadyumu,Konya,Turkey,37.871,32.485,1030,Konya,Republic of Türkiye,TR,Konya,1433861,PPLA,VERIFIED_LOCALITY_V4,3,Konya,PBK_GEOCODE_V4,2026-09-25T15:36:21Z,Open-Meteo Geocoding API city proxy v4
22763,Recep Tayyip Erdoğan Stadyumu,İstanbul,Turkey,41.014,28.95,39,Istanbul,Republic of Türkiye,TR,Istanbul,15701602,PPLA,VERIFIED_LOCALITY_V4,3,İstanbul,PBK_GEOCODE_V4,2026-09-25T11:05:02Z,Open-Meteo Geocoding API city proxy v4
22783,Decathlon Arena - Stade Pierre-Mauroy,Villeneuve d'Ascq,France,,,,,,,,,,UNRESOLVED_V4,0,Villeneuve d'Ascq,PBK_GEOCODE_V4,2026-09-25T14:29:56Z,Open-Meteo Geocoding API city proxy v4
22784,Estadio Abanca-Balaídos,Vigo,Spain,42.233,-8.723,86,Vigo,Spain,ES,Galicia,293642,PPLA3,VERIFIED_LOCALITY_V4,3,Vigo,PBK_GEOCODE_V4,2026-09-25T11:05:02Z,Open-Meteo Geocoding API city proxy v4
22785,Estadio La Cartuja de Sevilla,Sevilla,Spain,37.383,-5.973,16,Seville,Spain,ES,Andalusia,686741,PPLA,VERIFIED_LOCALITY_V4,3,Sevilla,PBK_GEOCODE_V4,2026-09-25T15:37:43Z,Open-Meteo Geocoding API city proxy v4
22796,Weserstadion,Bremen,Germany,53.076,8.807,17,Bremen,Germany,DE,Free Hanseatic City of Bremen,546501,PPLA,VERIFIED_LOCALITY_V4,3,Bremen,PBK_GEOCODE_V4,2026-09-25T11:05:02Z,Open-Meteo Geocoding API city proxy v4
2375,Gaziantep Stadyumu,Gaziantep,Turkey,37.059,37.383,842,Gaziantep,Republic of Türkiye,TR,Gaziantep,2222415,PPLA,VERIFIED_LOCALITY_V4,3,Gaziantep,PBK_GEOCODE_V4,2026-09-25T15:36:21Z,Open-Meteo Geocoding API city proxy v4
2381,Seyrantepe Spor Kompleksi Stadyumu 1,Diyarbakır,Turkey,37.914,40.217,674,Diyarbakır,Republic of Türkiye,TR,Diyarbakır Province,1833684,PPLA,VERIFIED_LOCALITY_V4,3,Diyarbakır,PBK_GEOCODE_V4,2026-09-25T11:05:02Z,Open-Meteo Geocoding API city proxy v4
2811,Estádio Cidade de Barcelos,Barcelos,Portugal,41.532,-8.618,36,Barcelos,Portugal,PT,Braga District,19085,PPLA2,VERIFIED_LOCALITY_V4,3,Barcelos,PBK_GEOCODE_V4,2026-09-25T11:05:39Z,Open-Meteo Geocoding API city proxy v4
