fixture_id,kickoff_utc,team_id,team_name,player_id,player_name,injury_type,injury_reason,retrieved_at_utc,evidence_state,temporal_authority,prematch_known,impact_score,impact_authority,research_only
1382432,2025-07-27T16:30:00+00:00,569,Club Brugge KV,15683,Gustaf Nilsson,,Achilles tendon problems,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1382432,2025-07-27T16:30:00+00:00,569,Club Brugge KV,301322,Kyriani Sabbe,,Minor Knock,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1382432,2025-07-27T16:30:00+00:00,742,Genk,380780,Ibrahima Sory Bangoura,,Ankle Injury,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1382433,2025-07-27T17:15:00+00:00,631,Gent,260798,Daisuke Yokota,,Pubalgia,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1390027,2025-08-01T18:30:00+00:00,1026,Lask Linz,7394,Maximilian Entrup,,Muscle Injury,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1390027,2025-08-01T18:30:00+00:00,637,Sturm Graz,169498,Niklas Geyrhofer,,Knee Surgery,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1390027,2025-08-01T18:30:00+00:00,637,Sturm Graz,281989,Daniil Khudyakov,,Broken wrist,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1390027,2025-08-01T18:30:00+00:00,637,Sturm Graz,7432,Alexandar Borkovic,,Ruptured cruciate ligament,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1382434,2025-08-01T18:45:00+00:00,266,KV Mechelen,92974,Tommy St Jago,,Achilles tendon problems,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
1382434,2025-08-01T18:45:00+00:00,569,Club Brugge KV,15683,Gustaf Nilsson,,Achilles tendon problems,2026-09-20T20:27:30Z,RETROSPECTIVE_INJURY_EVIDENCE,RETROSPECTIVE_ONLY,NO,,NOT_AUTHORIZED_WITHOUT_PREMATCH_EVIDENCE_AND_VALIDATION,YES
