api_fixture_id,league,league_id,captured_at_utc,kickoff_utc,minutes_to_kickoff,home_team,away_team,bet_id,bet_name,b365_1x,b365_x2,b365_12,p_1x,p_x2,p_12,open_p_1x,open_p_x2,open_p_12,move_1x_pp,move_x2_pp,move_12_pp,user_bookmaker,user_1x,user_x2,user_12,api_odds_update_utc
1570380,La Liga,140,2026-09-11T13:40:08Z,2026-09-13T19:00:00Z,3199.9,Real Sociedad,Atletico Madrid,12,Double Chance,1.53,1.4,1.28,0.30412056,0.33236033,0.36351911,0.30412056,0.33236033,0.36351911,0.00000000,-0.00000000,-0.00000000,Marathonbet,1.6,1.44,1.33,2026-09-11T12:30:44+00:00
1550126,Serie A,135,2026-09-11T13:40:08Z,2026-09-11T18:45:00Z,304.9,Venezia,Fiorentina,12,Double Chance,1.5,1.4,1.33,0.31257344,0.33490012,0.35252644,0.31257344,0.33490012,0.35252644,0.00000000,-0.00000000,-0.00000000,Marathonbet,1.55,1.45,1.36,2026-09-11T12:00:44+00:00
1550119,Serie A,135,2026-09-11T13:40:08Z,2026-09-12T13:00:00Z,1399.9,Genoa,Frosinone,12,Double Chance,1.28,1.7,1.33,0.36827703,0.27729094,0.35443203,0.36827703,0.27729094,0.35443203,0.00000000,0.00000000,-0.00000000,Marathonbet,1.32,1.75,1.35,2026-09-11T13:09:15+00:00
1550121,Serie A,135,2026-09-11T13:40:08Z,2026-09-12T16:00:00Z,1579.9,Lazio,AC Milan,12,Double Chance,1.62,1.3,1.36,0.29092345,0.36253538,0.34654117,0.29092345,0.36253538,0.34654117,0.00000000,-0.00000000,0.00000000,Marathonbet,1.66,1.36,1.37,2026-09-11T09:01:15+00:00
1550117,Serie A,135,2026-09-11T13:40:08Z,2026-09-12T18:45:00Z,1744.9,Atalanta,Cagliari,12,Double Chance,1.12,2.3,1.22,0.41580226,0.20247762,0.38172011,0.41580226,0.20247762,0.38172011,0.00000000,0.00000000,0.00000000,Marathonbet,1.14,2.45,1.27,2026-09-11T13:09:15+00:00
1550122,Serie A,135,2026-09-11T13:40:08Z,2026-09-13T13:00:00Z,2839.9,Lecce,Monza,12,Double Chance,1.4,1.44,1.36,0.33315188,0.32389766,0.34295046,0.33315188,0.32389766,0.34295046,-0.00000000,-0.00000000,0.00000000,Marathonbet,1.45,1.5,1.4,2026-09-11T13:09:15+00:00
1550123,Serie A,135,2026-09-11T13:40:08Z,2026-09-13T16:00:00Z,3019.9,Napoli,Bologna,12,Double Chance,1.17,2.0,1.28,0.40015006,0.23408778,0.36576216,0.40015006,0.23408778,0.36576216,-0.00000000,0.00000000,0.00000000,Marathonbet,1.21,2.08,1.32,2026-09-11T13:09:15+00:00
1550124,Serie A,135,2026-09-11T13:40:08Z,2026-09-13T18:45:00Z,3184.9,Sassuolo,Juventus,12,Double Chance,2.25,1.17,1.22,0.20976061,0.40338580,0.38685359,0.20976061,0.40338580,0.38685359,0.00000000,-0.00000000,0.00000000,Marathonbet,2.27,1.18,1.27,2026-09-11T13:09:15+00:00
1575164,Bundesliga,78,2026-09-11T13:40:08Z,2026-09-11T18:30:00Z,289.9,Union Berlin,FC Schalke 04,12,Double Chance,1.4,1.53,1.28,0.33236033,0.30412056,0.36351911,0.33236033,0.30412056,0.36351911,-0.00000000,0.00000000,-0.00000000,Marathonbet,1.46,1.6,1.32,2026-09-11T12:00:44+00:00
1575161,Bundesliga,78,2026-09-11T13:40:08Z,2026-09-12T13:30:00Z,1429.9,SC Freiburg,Borussia Mönchengladbach,12,Double Chance,1.18,2.15,1.2,0.39491811,0.21674575,0.38833614,0.39491811,0.21674575,0.38833614,-0.00000000,0.00000000,-0.00000000,Marathonbet,1.22,2.2,1.25,2026-09-11T09:52:15+00:00
