pbk_player_id,pbk_player_name,statsbomb_player_id,statsbomb_player_name,statsbomb_match_id,statsbomb_team_id,team_name,match_date,competition_id,competition_name,season_id,season_name,shots,non_penalty_shots,penalty_shots,xg_total,npxg,penalty_xg,assisted_shots,xa,mapping_method,mapping_confidence,statsbomb_record_id,source_event_sha256,source_revision,source,attribution_required,research_only,operational_betting_authority,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
1464,G. Xhaka,3500,Granit Xhaka,3890308,185,Borussia Mönchengladbach,,,,,,3,3,0,0.429652267,0.429652267,0.000000000,0,0.000000000,EXACT_FULL_NAME_VIA_VERIFIED_TRANSFER,HIGH,703119e2b565a4fae8fb518aae2d8022566129debcee517f7f25d0832704cb60,875cb2fd0e760ed6ab27bfa20a89094f2d053c296eb0403e5c8039c577486488,4b73468fc5b0f1950f9f66fada70ad3a4f9327cb,StatsBomb Open Data via Stage91 + Stage92 verified identity bridge,true,true,false,false,false,false,false,false
1464,G. Xhaka,3500,Granit Xhaka,3890318,185,Borussia Mönchengladbach,,,,,,1,1,0,0.113066180,0.113066180,0.000000000,0,0.000000000,EXACT_FULL_NAME_VIA_VERIFIED_TRANSFER,HIGH,b034afcf6ecf05c30cf9161524be474d24f2d5f66fd0f7ba7bf73caa6a670f62,462b1a6577f25beb86b4b1a77d197d2331203c49e73daf8242d016e8b0152d69,4b73468fc5b0f1950f9f66fada70ad3a4f9327cb,StatsBomb Open Data via Stage91 + Stage92 verified identity bridge,true,true,false,false,false,false,false,false
1464,G. Xhaka,3500,Granit Xhaka,3890323,185,Borussia Mönchengladbach,,,,,,1,1,0,0.044280860,0.044280860,0.000000000,0,0.000000000,EXACT_FULL_NAME_VIA_VERIFIED_TRANSFER,HIGH,7a9b60574a090055fc47885b0bd4ed47a7d2dc9c6d414c4de59eda1e7d044c34,07fc989c1c63f500bfc3332738ac136199ce7541163053e9c397813fb85ec7f0,4b73468fc5b0f1950f9f66fada70ad3a4f9327cb,StatsBomb Open Data via Stage91 + Stage92 verified identity bridge,true,true,false,false,false,false,false,false
1464,G. Xhaka,3500,Granit Xhaka,3890334,185,Borussia Mönchengladbach,,,,,,1,1,0,0.112402390,0.112402390,0.000000000,0,0.000000000,EXACT_FULL_NAME_VIA_VERIFIED_TRANSFER,HIGH,34d831420dc5e2f0dd3752388935d655e5b52fbf717f9f484ef69f6d55dfc152,796a6eebf448188da0562f80987c6b2bcb0ca8f14f48bdb71884a5a04521bbbd,4b73468fc5b0f1950f9f66fada70ad3a4f9327cb,StatsBomb Open Data via Stage91 + Stage92 verified identity bridge,true,true,false,false,false,false,false,false
1464,G. Xhaka,3500,Granit Xhaka,3890348,185,Borussia Mönchengladbach,,,,,,1,1,0,0.017792135,0.017792135,0.000000000,1,0.027456421,EXACT_FULL_NAME_VIA_VERIFIED_TRANSFER,HIGH,1f9ad39f2abbcbe4d975ef1a6fcde3e8636f4676358e460f61bd2861ff1df4fe,30d9a8e9f32397601b7545e9ec82d47cec97e94b5fbdf0c2fb98b369de68c6d9,4b73468fc5b0f1950f9f66fada70ad3a4f9327cb,StatsBomb Open Data via Stage91 + Stage92 verified identity bridge,true,true,false,false,false,false,false,false
1464,G. Xhaka,3500,Granit Xhaka,3890351,185,Borussia Mönchengladbach,,,,,,1,0,1,0.783500000,0.000000000,0.783500000,0,0.000000000,EXACT_FULL_NAME_VIA_VERIFIED_TRANSFER,HIGH,9c383ee170ae0c2af23f71e9a222e45385818eef226368d3e02d32dbd2191485,c22c7630b0161b7cd895bc73e3d00d92246e7881cd192a58e7ccea6a1be70d71,4b73468fc5b0f1950f9f66fada70ad3a4f9327cb,StatsBomb Open Data via Stage91 + Stage92 verified identity bridge,true,true,false,false,false,false,false,false
1464,G. Xhaka,3500,Granit Xhaka,3890363,185,Borussia Mönchengladbach,,,,,,1,1,0,0.029946532,0.029946532,0.000000000,0,0.000000000,EXACT_FULL_NAME_VIA_VERIFIED_TRANSFER,HIGH,bff173a9c38d07ec0e23c78db7f4964c174d22d656a4e173f45cdd4e64cddd37,4a34c6e5632ac512153832ccd52d0f1f5523417060159d63f71637104505d0ce,4b73468fc5b0f1950f9f66fada70ad3a4f9327cb,StatsBomb Open Data via Stage91 + Stage92 verified identity bridge,true,true,false,false,false,false,false,false
1464,G. Xhaka,3500,Granit Xhaka,3890377,185,Borussia Mönchengladbach,,,,,,4,4,0,0.076919077,0.076919077,0.000000000,0,0.000000000,EXACT_FULL_NAME_VIA_VERIFIED_TRANSFER,HIGH,e2887e41b3b8a3f5dadc84dc95c040ca8ed19eb8584dca337b500f84fc2555e5,551d9eb1b367535f5ab82467b2369d2050d32ad846a9210fdb98a428d7b7ac16,4b73468fc5b0f1950f9f66fada70ad3a4f9327cb,StatsBomb Open Data via Stage91 + Stage92 verified identity bridge,true,true,false,false,false,false,false,false
1464,G. Xhaka,3500,Granit Xhaka,3890410,185,Borussia Mönchengladbach,,,,,,1,1,0,0.077419090,0.077419090,0.000000000,0,0.000000000,EXACT_FULL_NAME_VIA_VERIFIED_TRANSFER,HIGH,0a36de913d4930a51361e9e76cc0ecf5a31f6f8ca8fc2f961e7edf5c026a6ee6,c594f05761414da1dbb717bdb58749fc2dc0ec4273888062072837ecb41edd0f,4b73468fc5b0f1950f9f66fada70ad3a4f9327cb,StatsBomb Open Data via Stage91 + Stage92 verified identity bridge,true,true,false,false,false,false,false,false
1464,G. Xhaka,3500,Granit Xhaka,3890447,185,Borussia Mönchengladbach,,,,,,1,1,0,0.024553517,0.024553517,0.000000000,0,0.000000000,EXACT_FULL_NAME_VIA_VERIFIED_TRANSFER,HIGH,da46fa338e1523cbae84a13b2b9d7156a123d3ab282162284b6ffc346a88b89e,98bf0c6319bc18cebe1738203e9cfb8e5924cc20789300ca43f2fc1e6d2e1708,4b73468fc5b0f1950f9f66fada70ad3a4f9327cb,StatsBomb Open Data via Stage91 + Stage92 verified identity bridge,true,true,false,false,false,false,false,false
