provider_league_id,league_name,country,referee,team_id,team,matches,home_matches,away_matches,wins,draws,losses,win_pct,draw_pct,loss_pct,points,points_per_match,goal_observed_matches,goals_for,goals_against,goal_difference,first_date,last_date,season_count,source_scope,cards_available,fouls_available,penalties_available,research_only,operational_betting_authority
135,Serie A,Italy,A. Arena,487,Lazio,1,1,0,1,0,0,100.0,0.0,0.0,3,3.0,1,2,1,1,2026-03-09,2026-03-09,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Arena,488,Sassuolo,2,0,2,1,0,1,50.0,0.0,50.0,3,1.5,2,4,3,1,2026-01-31,2026-03-09,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Arena,490,Cagliari,1,1,0,1,0,0,100.0,0.0,0.0,3,3.0,1,2,1,1,2026-05-17,2026-05-17,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Arena,495,Genoa,1,0,1,0,0,1,0.0,0.0,100.0,0,0.0,1,0,1,-1,2025-04-27,2025-04-27,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Arena,503,Torino,1,0,1,0,0,1,0.0,0.0,100.0,0,0.0,1,1,2,-1,2026-05-17,2026-05-17,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Arena,504,Hellas Verona,1,0,1,0,1,0,0.0,100.0,0.0,1,1.0,1,0,0,0,2026-01-19,2026-01-19,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Arena,520,Cremonese,1,1,0,0,1,0,0.0,100.0,0.0,1,1.0,1,0,0,0,2026-01-19,2026-01-19,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Arena,801,Pisa,1,1,0,0,0,1,0.0,0.0,100.0,0,0.0,1,1,3,-2,2026-01-31,2026-01-31,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Arena,895,Como,1,1,0,1,0,0,100.0,0.0,0.0,3,3.0,1,1,0,1,2025-04-27,2025-04-27,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Calzavara,504,Hellas Verona,1,0,1,0,1,0,0.0,100.0,0.0,1,1.0,1,1,1,0,2026-05-17,2026-05-17,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Calzavara,505,Inter,1,1,0,0,1,0,0.0,100.0,0.0,1,1.0,1,1,1,0,2026-05-17,2026-05-17,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Calzavara,523,Parma,1,1,0,1,0,0,100.0,0.0,0.0,3,3.0,1,1,0,1,2026-04-25,2026-04-25,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Calzavara,801,Pisa,1,0,1,0,0,1,0.0,0.0,100.0,0,0.0,1,0,1,-1,2026-04-25,2026-04-25,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Colombo,1579,Monza,4,2,2,1,1,2,25.0,25.0,50.0,4,1.0,4,6,7,-1,2023-08-19,2024-11-10,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Colombo,487,Lazio,10,5,5,6,3,1,60.0,30.0,10.0,21,2.1,10,11,10,1,2022-05-21,2025-05-04,4,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Colombo,488,Sassuolo,3,3,0,2,0,1,66.67,0.0,33.33,6,2.0,3,5,4,1,2022-08-20,2023-09-23,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Colombo,489,AC Milan,4,2,2,0,1,3,0.0,25.0,75.0,1,0.25,4,4,9,-5,2024-02-18,2026-01-25,3,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Colombo,490,Cagliari,2,2,0,0,0,2,0.0,0.0,100.0,0,0.0,2,1,3,-2,2024-01-26,2025-02-23,2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Colombo,492,Napoli,10,5,5,6,1,3,60.0,10.0,30.0,19,1.9,10,16,11,5,2023-02-17,2026-02-28,4,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Colombo,494,Udinese,3,1,2,0,1,2,0.0,33.33,66.67,1,0.333,3,0,6,-6,2022-02-13,2024-03-16,3,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Colombo,495,Genoa,5,4,1,2,1,2,40.0,20.0,40.0,7,1.4,5,5,9,-4,2024-01-05,2026-03-08,3,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Colombo,496,Juventus,9,1,8,5,2,2,55.56,22.22,22.22,17,1.889,9,14,9,5,2022-08-31,2026-05-09,4,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Colombo,497,AS Roma,9,6,3,3,5,1,33.33,55.56,11.11,14,1.556,9,13,10,3,2023-04-08,2026-03-08,4,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Colombo,498,Sampdoria,1,0,1,0,0,1,0.0,0.0,100.0,0,0.0,1,0,1,-1,2023-02-27,2023-02-27,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Colombo,499,Atalanta,5,2,3,1,1,3,20.0,20.0,60.0,4,0.8,5,7,11,-4,2022-09-11,2025-01-18,3,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Colombo,500,Bologna,6,5,1,4,1,1,66.67,16.67,16.67,13,2.167,6,12,7,5,2022-11-09,2026-04-12,4,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Colombo,502,Fiorentina,5,3,2,0,4,1,0.0,80.0,20.0,4,0.8,5,7,8,-1,2023-01-29,2026-03-22,3,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Colombo,503,Torino,8,3,5,2,4,2,25.0,50.0,25.0,10,1.25,8,9,9,0,2021-12-02,2026-02-07,5,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Colombo,504,Hellas Verona,4,3,1,1,1,2,25.0,25.0,50.0,4,1.0,4,8,10,-2,2022-02-13,2026-02-28,3,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Colombo,505,Inter,7,3,4,5,1,1,71.43,14.29,14.29,16,2.286,7,20,4,16,2022-11-09,2026-03-22,4,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Colombo,511,Empoli,3,2,1,0,2,1,0.0,66.67,33.33,2,0.667,3,3,4,-1,2021-12-02,2025-05-04,3,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Colombo,514,Salernitana,2,1,1,0,2,0,0.0,100.0,0.0,2,1.0,2,3,3,0,2023-01-08,2023-05-22,1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
