fixture_id,country,provider_competition_id,competition_name,season,round,kickoff_utc,home_team,away_team,team_id,team_name,player_id,player_name,availability_type,reason,retrieved_at_utc,source_endpoint,temporal_authority,archive_version
1382430,Belgium,144,Jupiler Pro League,2025,Regular Season - 1,2025-07-27T11:30:00+00:00,Anderlecht,KVC Westerlo,554,Anderlecht,453957,Cedric Hatenboer,Missing Fixture,Concussion,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382431,Belgium,144,Jupiler Pro League,2025,Regular Season - 1,2025-07-27T14:00:00+00:00,OH Leuven,Charleroi,260,OH Leuven,199903,Takahiro Akimoto,Missing Fixture,Thigh problems,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382432,Belgium,144,Jupiler Pro League,2025,Regular Season - 1,2025-07-27T16:30:00+00:00,Club Brugge KV,Genk,569,Club Brugge KV,15683,Gustaf Nilsson,Missing Fixture,Achilles tendon problems,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382432,Belgium,144,Jupiler Pro League,2025,Regular Season - 1,2025-07-27T16:30:00+00:00,Club Brugge KV,Genk,569,Club Brugge KV,301322,Kyriani Sabbe,Missing Fixture,Minor Knock,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382432,Belgium,144,Jupiler Pro League,2025,Regular Season - 1,2025-07-27T16:30:00+00:00,Club Brugge KV,Genk,742,Genk,380780,Ibrahima Sory Bangoura,Missing Fixture,Ankle Injury,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382433,Belgium,144,Jupiler Pro League,2025,Regular Season - 1,2025-07-27T17:15:00+00:00,St. Truiden,Gent,631,Gent,260798,Daisuke Yokota,Missing Fixture,Pubalgia,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382434,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-01T18:45:00+00:00,KV Mechelen,Club Brugge KV,266,KV Mechelen,92974,Tommy St Jago,Missing Fixture,Achilles tendon problems,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382434,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-01T18:45:00+00:00,KV Mechelen,Club Brugge KV,569,Club Brugge KV,15683,Gustaf Nilsson,Missing Fixture,Achilles tendon problems,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382434,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-01T18:45:00+00:00,KV Mechelen,Club Brugge KV,569,Club Brugge KV,301322,Kyriani Sabbe,Missing Fixture,Minor Knock,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382435,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-02T14:00:00+00:00,KVC Westerlo,Zulte Waregem,261,KVC Westerlo,300941,Bi Irie Fernand Goure,Missing Fixture,Knee Problems,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382436,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-02T16:15:00+00:00,Standard Liege,Dender,6215,Dender,315025,M. Berte,Missing Fixture,Muscle bruise,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382436,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-02T16:15:00+00:00,Standard Liege,Dender,6215,Dender,37839,Ragnar Oratmangoen,Missing Fixture,Infection,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382436,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-02T16:15:00+00:00,Standard Liege,Dender,733,Standard Liege,15862,Casper Nielsen,Missing Fixture,Calf Injury,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382436,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-02T16:15:00+00:00,Standard Liege,Dender,733,Standard Liege,1715,Boli Bolingoli Mbombo,Missing Fixture,Groin Injury,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382436,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-02T16:15:00+00:00,Standard Liege,Dender,733,Standard Liege,198400,Ibe Hautekiet,Missing Fixture,Minor Knock,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382436,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-02T16:15:00+00:00,Standard Liege,Dender,733,Standard Liege,24865,David Bates,Missing Fixture,Knee injury,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382436,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-02T16:15:00+00:00,Standard Liege,Dender,733,Standard Liege,38128,Mo El Hankouri,Missing Fixture,fitness,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382437,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-02T18:45:00+00:00,Gent,RAAL La Louvière,631,Gent,278233,Max Dean,Missing Fixture,Ruptured cruciate ligament,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382437,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-02T18:45:00+00:00,Gent,RAAL La Louvière,631,Gent,2819,Stefan Mitrovic,Missing Fixture,Unknown Injury,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382438,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-03T11:30:00+00:00,Genk,Antwerp,740,Antwerp,198347,Anthony Valencia,Missing Fixture,Ruptured cruciate ligament,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382438,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-03T11:30:00+00:00,Genk,Antwerp,740,Antwerp,21999,Bjorn Engels,Missing Fixture,Achilles heel problems,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382438,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-03T11:30:00+00:00,Genk,Antwerp,740,Antwerp,8455,Geoffry Hairemans,Missing Fixture,Cruciate ligament injury,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382439,Belgium,144,Jupiler Pro League,2025,Regular Season - 2,2025-08-03T14:00:00+00:00,Cercle Brugge,Anderlecht,554,Anderlecht,127418,Killian Sardella,Missing Fixture,hamstring muscle injury,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
