factor,bucket,scope_type,scope_value,matches,sample_band,home_wins,draws,away_wins,home_win_rate,draw_rate,away_win_rate,avg_total_goals,over25_rate,btts_rate,closing_1x2_matches,closing_1x2_avg_source_rows,closing_1x2_b365_source_rows,closing_home_hit_rate,closing_draw_hit_rate,closing_away_hit_rate,avg_market_novig_home,avg_market_novig_draw,avg_market_novig_away,home_calibration_pp,draw_calibration_pp,away_calibration_pp,home_flat_bet_roi_pct,draw_flat_bet_roi_pct,away_flat_bet_roi_pct,closing_total25_matches,closing_total25_avg_source_rows,closing_total25_b365_source_rows,closing_over25_hit_rate,closing_under25_hit_rate,avg_market_novig_over25,avg_market_novig_under25,over25_calibration_pp,under25_calibration_pp,over25_flat_bet_roi_pct,under25_flat_bet_roi_pct,research_only,operational_betting_authority,creates_signal,promotes_factor,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE_SEASON,P1|2020,35,LT50,13,9,13,0.37143,0.25714,0.37143,2.543,0.42857,0.51429,35,35,0,0.37143,0.25714,0.37143,0.39903,0.25889,0.34208,-2.76,-0.175,2.935,-29.857,-15.971,-2.6,35,35,0,0.42857,0.57143,0.46732,0.53268,-3.875,3.875,-16.886,-1.371,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE_SEASON,P1|2021,36,LT50,12,11,13,0.33333,0.30556,0.36111,2.694,0.55556,0.5,36,36,0,0.33333,0.30556,0.36111,0.42773,0.25165,0.32063,-9.44,5.391,4.048,-38.389,1.028,-5.778,36,36,0,0.55556,0.44444,0.48242,0.51758,7.314,-7.314,11.083,-17.0,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE_SEASON,P1|2022,18,LT50,10,4,4,0.55556,0.22222,0.22222,2.333,0.44444,0.44444,18,18,0,0.55556,0.22222,0.22222,0.43811,0.24745,0.31444,11.745,-2.523,-9.222,4.722,-16.056,-48.611,18,18,0,0.44444,0.55556,0.48835,0.51165,-4.391,4.391,-12.389,4.722,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE_SEASON,P1|2023,36,LT50,15,6,15,0.41667,0.16667,0.41667,2.917,0.55556,0.5,36,36,0,0.41667,0.16667,0.41667,0.38867,0.23474,0.37658,2.8,-6.807,4.009,5.972,-29.75,0.139,36,36,0,0.55556,0.44444,0.52549,0.47451,3.007,-3.007,-0.0,-10.944,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE_SEASON,P1|2024,35,LT50,19,5,11,0.54286,0.14286,0.31429,2.829,0.6,0.42857,35,35,0,0.54286,0.14286,0.31429,0.40429,0.24031,0.3554,13.857,-9.745,-4.111,10.429,-52.829,-16.229,35,35,0,0.6,0.4,0.48111,0.51889,11.889,-11.889,23.171,-24.086,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE_SEASON,P1|2025,27,LT50,11,4,12,0.40741,0.14815,0.44444,2.704,0.51852,0.37037,27,27,0,0.40741,0.14815,0.44444,0.45129,0.23811,0.3106,-4.388,-8.996,13.384,-37.185,-46.63,14.556,27,27,0,0.51852,0.48148,0.48988,0.51012,2.864,-2.864,-4.667,-15.667,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE_SEASON,POL|2018,32,LT50,16,10,6,0.5,0.3125,0.1875,2.812,0.46875,0.53125,32,32,0,0.5,0.3125,0.1875,0.43118,0.27723,0.29159,6.882,3.527,-10.409,9.187,5.938,-45.969,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE_SEASON,POL|2019,32,LT50,15,10,7,0.46875,0.3125,0.21875,2.312,0.4375,0.46875,32,32,0,0.46875,0.3125,0.21875,0.41709,0.27826,0.30465,5.166,3.424,-8.59,1.344,2.469,-35.688,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE_SEASON,POL|2020,30,LT50,13,7,10,0.43333,0.23333,0.33333,3.133,0.66667,0.63333,30,30,0,0.43333,0.23333,0.33333,0.37463,0.2734,0.35197,5.87,-4.007,-1.864,16.767,-17.0,-17.233,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE_SEASON,POL|2021,36,LT50,13,12,11,0.36111,0.33333,0.30556,2.694,0.47222,0.61111,36,36,0,0.36111,0.33333,0.30556,0.36983,0.28066,0.34951,-0.872,5.267,-4.395,-8.25,10.389,-23.167,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE_SEASON,POL|2022,27,LT50,10,11,6,0.37037,0.40741,0.22222,1.963,0.25926,0.40741,27,27,0,0.37037,0.40741,0.22222,0.43031,0.27158,0.29811,-5.994,13.583,-7.589,-20.852,38.111,-9.333,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE_SEASON,POL|2023,44,LT50,18,15,11,0.40909,0.34091,0.25,2.795,0.52273,0.61364,44,44,0,0.40909,0.34091,0.25,0.43536,0.26476,0.29987,-2.627,7.615,-4.987,-10.636,17.0,-13.614,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE_SEASON,POL|2024,35,LT50,17,6,12,0.48571,0.17143,0.34286,2.657,0.45714,0.45714,35,35,0,0.48571,0.17143,0.34286,0.42592,0.2691,0.30498,5.979,-9.767,3.788,9.314,-37.914,-7.6,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE_SEASON,POL|2025,33,LT50,17,6,10,0.51515,0.18182,0.30303,3.212,0.57576,0.63636,33,33,0,0.51515,0.18182,0.30303,0.46671,0.25981,0.27348,4.844,-7.799,2.955,10.485,-34.242,14.758,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE_SEASON,SC0|2017,23,LT50,6,7,10,0.26087,0.30435,0.43478,2.217,0.34783,0.43478,0,0,0,,,,,,,,,,,,,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,BOTH,LEAGUE_SEASON,SC0|2018,23,LT50,13,4,6,0.56522,0.17391,0.26087,2.826,0.65217,0.43478,0,0,0,,,,,,,,,,,,,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
