fixture_id,provider_league_id,competition_name,candidate_family,season,round,kickoff_utc,status,elapsed,venue_id,venue_name,venue_city,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,result,evidence_tier,direct_matchday_squad_evidence_possible,direct_minutes_evidence_possible,player_evidence_backfill_eligible,captured_at_utc,source,historical_callup_evidence_possible,nationality_inference_allowed,historical_backfill_only,research_only,operational_betting_authority,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
1051773,22,CONCACAF Gold Cup,GOLD_CUP,2023,Quarter-finals,2023-07-08T23:00:00+00:00,FT,90,,AT&T Stadium,"Arlington, Texas",11,Panama,1569,Qatar,4,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:19Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1051774,22,CONCACAF Gold Cup,GOLD_CUP,2023,Quarter-finals,2023-07-09T01:30:00+00:00,FT,90,,AT&T Stadium,"Arlington, Texas",16,Mexico,29,Costa Rica,2,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:19Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1051775,22,CONCACAF Gold Cup,GOLD_CUP,2023,Quarter-finals,2023-07-09T21:00:00+00:00,FT,90,19229,TQL Stadium,"Cincinnati, Ohio",5161,Guatemala,2385,Jamaica,0,1,A,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:19Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1051776,22,CONCACAF Gold Cup,GOLD_CUP,2023,Quarter-finals,2023-07-09T23:30:00+00:00,PEN,120,19229,TQL Stadium,"Cincinnati, Ohio",2384,USA,5529,Canada,2,2,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:19Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1060869,22,CONCACAF Gold Cup,GOLD_CUP,2023,Semi-finals,2023-07-12T23:30:00+00:00,PEN,120,,Snapdragon Stadium,"San Diego, California",2384,USA,11,Panama,1,1,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:19Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1060870,22,CONCACAF Gold Cup,GOLD_CUP,2023,Semi-finals,2023-07-13T02:00:00+00:00,FT,90,,Allegiant Stadium,"Las Vegas, Nevada",2385,Jamaica,16,Mexico,0,3,A,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:19Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1065809,22,CONCACAF Gold Cup,GOLD_CUP,2023,Final,2023-07-16T23:30:00+00:00,FT,90,,SoFi Stadium,"Inglewood, California",16,Mexico,11,Panama,1,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:19Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1028666,10,Friendlies,FRIENDLIES,2023,Friendlies 2,2023-08-02T23:00:00+00:00,FT,90,,Segra Field,"Leesburg, Virginia",1506,Ethiopia,5162,Guyana,2,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1104374,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-08-27T20:00:00+00:00,FT,90,2438,Estadio Félix Capriles,Cochabamba,2381,Bolivia,11,Panama,1,2,A,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1125027,10,Friendlies,FRIENDLIES,2023,Friendlies 3,2023-08-29T00:00:00+00:00,FT,90,2121,Stade Pater Te Hono Nui,Papeete,5167,Tahiti,8174,Cook Islands,9,1,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1125028,10,Friendlies,FRIENDLIES,2023,Friendlies 3,2023-09-01T06:00:00+00:00,FT,90,2121,Stade Pater Te Hono Nui,Papeete,5167,Tahiti,8174,Cook Islands,3,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1121900,10,Friendlies,FRIENDLIES,2023,Friendlies 3,2023-09-03T11:00:00+00:00,FT,90,,Bashundhara Kings Arena,Dhaka,1560,Bangladesh,1553,Afghanistan,0,0,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1102881,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-09-03T22:00:00+00:00,FT,90,11976,DRV PNK Stadium,"Fort Lauderdale, Florida",5161,Guatemala,4672,Honduras,0,0,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1100658,10,Friendlies,FRIENDLIES,2023,Friendlies 3,2023-09-06T00:00:00+00:00,CANC,,,,,5538,Brunei,5537,Timor-Leste,,,,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1102884,10,Friendlies,FRIENDLIES,2023,Friendlies 3,2023-09-06T09:00:00+00:00,FT,90,,Chengdong Football Park Stadium,Chengdu,1538,Malaysia,1565,Syria,2,2,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1116901,10,Friendlies,FRIENDLIES,2023,Friendlies 3,2023-09-06T11:30:00+00:00,FT,90,3611,Macau Olympic Complex Stadium,Taipa,1544,Macau,1540,Bhutan,0,1,A,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1019896,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-09-06T12:00:00+00:00,CANC,,,TBC,TBC,1103,Bulgaria,1568,Uzbekistan,,,,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1102885,10,Friendlies,FRIENDLIES,2023,Friendlies 3,2023-09-06T14:45:00+00:00,FT,90,,Sultan Qaboos Sport Complex,Muscat,1552,Oman,1562,Palestine,2,1,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1115902,10,Friendlies,FRIENDLIES,2023,Friendlies 2,2023-09-06T18:00:00+00:00,FT,90,2614,Ta'Qali National Stadium,Ta'Qali,1112,Malta,1093,Gibraltar,1,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1102886,10,Friendlies,FRIENDLIES,2023,Friendlies 3,2023-09-07T11:00:00+00:00,FT,90,,Bashundhara Kings Arena,Dhaka,1560,Bangladesh,1553,Afghanistan,1,1,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1115485,10,Friendlies,FRIENDLIES,2023,Friendlies 3,2023-09-07T12:00:00+00:00,FT,90,20324,Olympic Stadium,Phnom Penh,1543,Cambodia,4460,Hong Kong,1,1,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1119710,10,Friendlies,FRIENDLIES,2023,Friendlies 3,2023-09-07T15:00:00+00:00,FT,90,,Police Officers Club Stadium,Dubai,1547,Bahrain,1570,Kuwait,1,3,A,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1124141,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-09-07T15:15:00+00:00,FT,90,,Al Janoub Stadium,Al Wakrah,1569,Qatar,1511,Kenya,1,2,A,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1087029,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-09-07T16:00:00+00:00,FT,90,19922,Stadion Hristo Botev,Plovdiv,1103,Bulgaria,22,Iran,0,1,A,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1012348,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-09-07T17:00:00+00:00,FT,90,11603,Ullevaal Stadion,Oslo,1090,Norway,1548,Jordan,6,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1068052,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-09-07T18:30:00+00:00,FT,90,,Raiffeisen Arena,Linz,775,Austria,1114,Moldova,1,1,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1028949,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-09-07T18:45:00+00:00,FT,90,,Cardiff City Stadium,Caerdydd,767,Wales,17,South Korea,0,0,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1100235,34,World Cup - Qualification South America,WORLD_CUP_QUALIFICATION,2026,Group Stage - 1,2023-09-07T22:30:00+00:00,FT,90,1213,Estadio Antonio Aranda,Ciudad del Este,2380,Paraguay,30,Peru,0,0,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:28:49Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1100236,34,World Cup - Qualification South America,WORLD_CUP_QUALIFICATION,2026,Group Stage - 1,2023-09-07T23:00:00+00:00,FT,90,366,Estadio Metropolitano Roberto Meléndez,Barranquilla,8,Colombia,2379,Venezuela,1,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:28:49Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1100237,34,World Cup - Qualification South America,WORLD_CUP_QUALIFICATION,2026,Group Stage - 1,2023-09-08T00:00:00+00:00,FT,90,19570,Estadio Monumental,Buenos Aires,26,Argentina,2382,Ecuador,1,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:28:49Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1115486,10,Friendlies,FRIENDLIES,2023,Friendlies 3,2023-09-08T10:30:00+00:00,FT,90,19697,Thuwunna Stadium,Yangon,1556,Myanmar,1545,Nepal,0,0,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1081947,10,Friendlies,FRIENDLIES,2023,Friendlies 3,2023-09-08T11:00:00+00:00,FT,90,,Kaohsiung National Stadium,Gaoxiong,1557,Chinese Taipei,1555,Philippines,1,1,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1068054,10,Friendlies,FRIENDLIES,2023,Friendlies 3,2023-09-08T11:30:00+00:00,FT,90,3205,Bishan Stadium,Singapore,1546,Singapore,1536,Tajikistan,0,2,A,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1131720,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-09-08T12:30:00+00:00,FT,90,835,Stadion Gelora Bung Tomo,Surabaya,1571,Indonesia,1539,Turkmenistan,2,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1119707,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-09-08T19:00:00+00:00,FT,90,562,St. James' Park,Newcastle upon Tyne,23,Saudi Arabia,29,Costa Rica,1,3,A,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1100233,34,World Cup - Qualification South America,WORLD_CUP_QUALIFICATION,2026,Group Stage - 1,2023-09-08T23:00:00+00:00,FT,90,1624,Estadio Centenario,Montevideo,7,Uruguay,2383,Chile,3,1,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:28:49Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1100234,34,World Cup - Qualification South America,WORLD_CUP_QUALIFICATION,2026,Group Stage - 1,2023-09-09T00:45:00+00:00,FT,90,262,Estadio Olimpico do Para,Belem,6,Brazil,2381,Bolivia,5,1,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:28:49Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1102882,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-09-09T11:35:00+00:00,FT,90,20429,Chengdu Phoenix Mountain Sports Park,Chengdu,1566,China,1538,Malaysia,1,1,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1119525,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-09-09T13:00:00+00:00,FT,90,1453,Orlando Stadium,"Johannesburg, GA",1531,South Africa,1493,Namibia,0,0,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1029480,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-09-09T18:45:00+00:00,FT,90,752,VOLKSWAGEN ARENA,Wolfsburg,25,Germany,12,Japan,1,4,A,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1045877,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-09-09T21:30:00+00:00,FT,90,19408,CITYPARK,"St. Louis, Missouri",2384,USA,1568,Uzbekistan,3,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1081943,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-09-10T02:00:00+00:00,FT,90,,AT&T Stadium,"Arlington, Texas",16,Mexico,20,Australia,2,2,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
995738,10,Friendlies,FRIENDLIES,2023,Friendlies 1,2023-09-10T16:00:00+00:00,FT,90,19605,Puskás Aréna,Budapest,769,Hungary,770,Czechia,1,1,D,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1115487,10,Friendlies,FRIENDLIES,2023,Friendlies 3,2023-09-11T10:30:00+00:00,FT,90,19697,Thuwunna Stadium,Yangon,1556,Myanmar,1545,Nepal,1,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1100659,10,Friendlies,FRIENDLIES,2023,Friendlies 3,2023-09-11T12:00:00+00:00,FT,90,3385,Hong Kong Stadium,Hong Kong,4460,Hong Kong,5538,Brunei,10,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1115488,10,Friendlies,FRIENDLIES,2023,Friendlies 3,2023-09-11T12:00:00+00:00,FT,90,20324,Olympic Stadium,Phnom Penh,1543,Cambodia,1544,Macau,4,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1102887,10,Friendlies,FRIENDLIES,2023,Friendlies 3,2023-09-11T12:30:00+00:00,FT,90,,Sân vận động Thiên Trường,Nam Dinh,1542,Vietnam,1562,Palestine,2,0,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1119711,10,Friendlies,FRIENDLIES,2023,Friendlies 3,2023-09-11T16:00:00+00:00,FT,90,,The Sevens Stadium,Dubai,1554,Kyrgyzstan,1570,Kuwait,3,1,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
1102888,10,Friendlies,FRIENDLIES,2023,Friendlies 3,2023-09-12T11:00:00+00:00,FT,90,1244,Rizal Memorial Stadium,Manila,1555,Philippines,1553,Afghanistan,2,1,H,DIRECT_MINUTES,true,true,true,2026-09-19T14:29:17Z,API-Football /fixtures?league&season,false,false,true,true,false,false,false,false,false,false
