api_fixture_id,league,league_id,captured_at_utc,kickoff_utc,home_team,away_team,bet_id,bet_name,line,open_b365_f1_0,open_b365_f2_0,open_p_f1_0,open_p_f2_0,status,source
1550124,Serie A,135,2026-09-11T14:03:50Z,2026-09-13T18:45:00Z,Sassuolo,Juventus,4,Asian Handicap,0,3.9,1.24,0.24124514,0.75875486,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1550125,Serie A,135,2026-09-11T14:03:50Z,2026-09-14T16:30:00Z,Torino,AS Roma,4,Asian Handicap,0,4.4,1.2,0.21428571,0.78571429,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1550118,Serie A,135,2026-09-11T14:03:50Z,2026-09-14T16:30:00Z,Como,Parma,4,Asian Handicap,0,1.1,7.0,0.86419753,0.13580247,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1550120,Serie A,135,2026-09-11T14:03:50Z,2026-09-14T18:45:00Z,Inter,Udinese,4,Asian Handicap,0,1.1,7.0,0.86419753,0.13580247,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1575164,Bundesliga,78,2026-09-11T14:03:50Z,2026-09-11T18:30:00Z,Union Berlin,FC Schalke 04,4,Asian Handicap,0,1.8,2.05,0.53246753,0.46753247,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1575161,Bundesliga,78,2026-09-11T14:03:50Z,2026-09-12T13:30:00Z,SC Freiburg,Borussia Mönchengladbach,4,Asian Handicap,0,1.32,3.3,0.71428571,0.28571429,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1575163,Bundesliga,78,2026-09-11T14:03:50Z,2026-09-12T13:30:00Z,FSV Mainz 05,Eintracht Frankfurt,4,Asian Handicap,0,1.48,2.6,0.63725490,0.36274510,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1575160,Bundesliga,78,2026-09-11T14:03:50Z,2026-09-12T13:30:00Z,1899 Hoffenheim,VfB Stuttgart,4,Asian Handicap,0,1.8,2.05,0.53246753,0.46753247,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1575162,Bundesliga,78,2026-09-11T14:03:50Z,2026-09-12T13:30:00Z,FC Augsburg,Bayer Leverkusen,4,Asian Handicap,0,3.1,1.35,0.30337079,0.69662921,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1575165,Bundesliga,78,2026-09-11T14:03:50Z,2026-09-12T16:30:00Z,1. FC Köln,Werder Bremen,4,Asian Handicap,0,1.55,2.38,0.60559796,0.39440204,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1575159,Bundesliga,78,2026-09-11T14:03:50Z,2026-09-13T13:30:00Z,RB Leipzig,Hamburger SV,4,Asian Handicap,0,1.12,6.4,0.85106383,0.14893617,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1552763,Ligue 1,61,2026-09-11T14:03:50Z,2026-09-11T18:45:00Z,Rennes,Marseille,4,Asian Handicap,0,1.48,2.6,0.63725490,0.36274510,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1552764,Ligue 1,61,2026-09-11T14:03:50Z,2026-09-12T15:15:00Z,Strasbourg,Monaco,4,Asian Handicap,0,2.3,1.6,0.41025641,0.58974359,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1552761,Ligue 1,61,2026-09-11T14:03:50Z,2026-09-12T18:45:00Z,Lorient,Toulouse,4,Asian Handicap,0,1.85,2.0,0.51948052,0.48051948,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1552756,Ligue 1,61,2026-09-11T14:03:50Z,2026-09-12T18:45:00Z,Auxerre,Nice,4,Asian Handicap,0,1.88,1.98,0.51295337,0.48704663,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1552758,Ligue 1,61,2026-09-11T14:03:50Z,2026-09-12T18:45:00Z,Le Havre,Angers,4,Asian Handicap,0,1.8,2.05,0.53246753,0.46753247,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1552762,Ligue 1,61,2026-09-11T14:03:50Z,2026-09-12T18:45:00Z,Paris FC,Lyon,4,Asian Handicap,0,1.92,1.92,0.50000000,0.50000000,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1552760,Ligue 1,61,2026-09-11T14:03:50Z,2026-09-13T13:00:00Z,Lille,Estac Troyes,4,Asian Handicap,0,1.14,5.75,0.83454282,0.16545718,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1552759,Ligue 1,61,2026-09-11T14:03:50Z,2026-09-13T15:15:00Z,Le Mans,Lens,4,Asian Handicap,0,3.55,1.27,0.26348548,0.73651452,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1552769,Ligue 1,61,2026-09-11T14:03:50Z,2026-09-18T18:45:00Z,Monaco,Lens,4,Asian Handicap,0,1.68,2.15,0.56135770,0.43864230,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1561926,Austrian Bundesliga,218,2026-09-11T14:03:50Z,2026-09-11T17:30:00Z,Ried,Red Bull Salzburg,4,Asian Handicap,0,4.4,1.2,0.21428571,0.78571429,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1561924,Austrian Bundesliga,218,2026-09-11T14:03:50Z,2026-09-12T15:00:00Z,SCR Altach,Grazer AK,4,Asian Handicap,0,1.55,2.38,0.60559796,0.39440204,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1561929,Austrian Bundesliga,218,2026-09-11T14:03:50Z,2026-09-12T17:30:00Z,Wolfsberger AC,Rapid Vienna,4,Asian Handicap,0,3.55,1.27,0.26348548,0.73651452,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1561925,Austrian Bundesliga,218,2026-09-11T14:03:50Z,2026-09-13T12:30:00Z,Austria Vienna,Austria Lustenau,4,Asian Handicap,0,1.38,3.0,0.68493151,0.31506849,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1561928,Austrian Bundesliga,218,2026-09-11T14:03:50Z,2026-09-13T12:30:00Z,WSG Wattens,TSV Hartberg,4,Asian Handicap,0,1.6,2.3,0.58974359,0.41025641,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1561927,Austrian Bundesliga,218,2026-09-11T14:03:50Z,2026-09-13T15:00:00Z,Sturm Graz,Lask Linz,4,Asian Handicap,0,2.35,1.58,0.40203562,0.59796438,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1561935,Austrian Bundesliga,218,2026-09-11T14:03:50Z,2026-09-18T17:30:00Z,Rapid Vienna,WSG Wattens,4,Asian Handicap,0,1.15,5.5,0.82706767,0.17293233,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1561930,Austrian Bundesliga,218,2026-09-11T14:03:50Z,2026-09-19T15:00:00Z,Austria Lustenau,SCR Altach,4,Asian Handicap,0,2.08,1.72,0.45263158,0.54736842,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1561931,Austrian Bundesliga,218,2026-09-11T14:03:50Z,2026-09-19T17:30:00Z,Grazer AK,Austria Vienna,4,Asian Handicap,0,1.8,2.0,0.52631579,0.47368421,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1561933,Austrian Bundesliga,218,2026-09-11T14:03:50Z,2026-09-20T12:30:00Z,Ried,Wolfsberger AC,4,Asian Handicap,0,1.68,2.15,0.56135770,0.43864230,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1558626,Belgian Pro League,144,2026-09-11T14:03:50Z,2026-09-11T18:45:00Z,KV Mechelen,Anderlecht,4,Asian Handicap,0,3.1,1.35,0.30337079,0.69662921,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1558627,Belgian Pro League,144,2026-09-11T14:03:50Z,2026-09-12T14:00:00Z,SK Beveren,St. Truiden,4,Asian Handicap,0,2.25,1.62,0.41860465,0.58139535,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1558628,Belgian Pro League,144,2026-09-11T14:03:50Z,2026-09-12T16:15:00Z,KVC Westerlo,Standard Liege,4,Asian Handicap,0,1.85,1.95,0.51315789,0.48684211,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1558629,Belgian Pro League,144,2026-09-11T14:03:50Z,2026-09-12T18:45:00Z,OH Leuven,Cercle Brugge,4,Asian Handicap,0,1.9,1.9,0.50000000,0.50000000,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1558632,Belgian Pro League,144,2026-09-11T14:03:50Z,2026-09-13T14:00:00Z,Genk,Gent,4,Asian Handicap,0,1.5,2.5,0.62500000,0.37500000,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1558633,Belgian Pro League,144,2026-09-11T14:03:50Z,2026-09-13T16:30:00Z,Zulte Waregem,Charleroi,4,Asian Handicap,0,1.88,1.92,0.50526316,0.49473684,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1558634,Belgian Pro League,144,2026-09-11T14:03:50Z,2026-09-13T17:15:00Z,RAAL La Louvière,Kortrijk,4,Asian Handicap,0,1.68,2.15,0.56135770,0.43864230,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1549016,Danish Superliga,119,2026-09-11T14:03:50Z,2026-09-11T17:00:00Z,FC Copenhagen,AC Horsens,4,Asian Handicap,0,1.12,6.25,0.84803256,0.15196744,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1549017,Danish Superliga,119,2026-09-11T14:03:50Z,2026-09-13T12:00:00Z,Lyngby,Sonderjyske,4,Asian Handicap,0,1.26,3.7,0.74596774,0.25403226,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1549021,Danish Superliga,119,2026-09-11T14:03:50Z,2026-09-13T12:00:00Z,Silkeborg,Viborg,4,Asian Handicap,0,2.85,1.4,0.32941176,0.67058824,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1549020,Danish Superliga,119,2026-09-11T14:03:50Z,2026-09-13T14:00:00Z,Randers FC,Odense,4,Asian Handicap,0,1.6,2.3,0.58974359,0.41025641,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
