season,player_id,team_id,team_name,status,attempts,last_attempt_at_utc,last_error
2026,659290,170,FC Augsburg,EMPTY,1,2026-09-18T18:55:41Z,
2026,660571,116,Lens,EMPTY,1,2026-09-18T18:55:41Z,
2026,661146,66,Aston Villa,EMPTY,1,2026-09-18T18:55:41Z,
2026,668701,116,Lens,EMPTY,1,2026-09-18T18:55:41Z,
2026,668702,116,Lens,EMPTY,1,2026-09-18T18:55:41Z,
2026,668708,79,Lille,EMPTY,1,2026-09-18T18:55:41Z,
2026,668718,84,Nice,EMPTY,1,2026-09-18T18:55:41Z,
2026,669800,546,Getafe,EMPTY,1,2026-09-18T18:55:41Z,
2026,669862,1298,Le Mans,EMPTY,1,2026-09-18T18:55:41Z,
2026,669867,535,Malaga,EMPTY,1,2026-09-18T18:55:41Z,
2026,669876,108,Auxerre,EMPTY,1,2026-09-18T18:55:41Z,
2026,669877,79,Lille,EMPTY,1,2026-09-18T18:55:41Z,
2026,669879,170,FC Augsburg,EMPTY,1,2026-09-18T18:55:41Z,
2026,670668,111,Le Havre,EMPTY,1,2026-09-18T18:55:41Z,
2026,670669,111,Le Havre,EMPTY,1,2026-09-18T18:55:41Z,
2026,671514,84,Nice,EMPTY,1,2026-09-18T18:55:41Z,
2026,671608,84,Nice,EMPTY,1,2026-09-18T18:55:41Z,
2026,671614,535,Malaga,EMPTY,1,2026-09-18T18:55:41Z,
2026,671625,546,Getafe,EMPTY,1,2026-09-18T18:55:41Z,
2026,671665,35,Bournemouth,EMPTY,1,2026-09-18T18:55:41Z,
2026,671920,77,Angers,EMPTY,1,2026-09-18T18:55:41Z,
2026,671921,79,Lille,EMPTY,1,2026-09-18T18:55:41Z,
2026,672029,4665,Racing Santander,EMPTY,1,2026-09-18T18:55:41Z,
2026,674510,108,Auxerre,EMPTY,1,2026-09-18T18:55:41Z,
2026,674625,895,Como,EMPTY,1,2026-09-18T18:55:41Z,
2026,675832,1579,Monza,CAPTURED,1,2026-09-18T18:55:41Z,
2026,675841,497,AS Roma,EMPTY,1,2026-09-18T18:55:41Z,
2026,675847,867,Lecce,EMPTY,1,2026-09-18T18:55:41Z,
2026,675850,867,Lecce,EMPTY,1,2026-09-18T18:55:41Z,
2026,675895,495,Genoa,EMPTY,1,2026-09-18T18:55:41Z,
2026,676939,165,Borussia Dortmund,EMPTY,1,2026-09-18T18:55:41Z,
2026,679113,500,Bologna,EMPTY,1,2026-09-18T18:55:41Z,
2026,715,173,RB Leipzig,CAPTURED,1,2026-09-18T18:55:41Z,
2026,723,34,Newcastle,CAPTURED,1,2026-09-18T18:55:41Z,
2026,85,1579,Monza,EMPTY,1,2026-09-18T18:55:41Z,
2026,881,523,Parma,EMPTY,1,2026-09-18T18:55:41Z,
2026,961,111,Le Havre,EMPTY,1,2026-09-18T18:55:41Z,
