fixture_id,provider_league_id,league_name,country,country_flag_url,league_logo_url,season,round,kickoff_utc,home_team,home_team_logo_url,away_team,away_team_logo_url,referee,venue_name,venue_city,status,source_status,score_home,score_away,observed_at_utc
1553187,106,Ekstraklasa,Poland,https://media.api-sports.io/flags/pl.svg,https://media.api-sports.io/football/leagues/106.png,2026,Regular Season - 10,2026-10-12T16:00:00+00:00,Radomiak Radom,https://media.api-sports.io/football/teams/4248.png,Motor Lublin,https://media.api-sports.io/football/teams/14562.png,,,Radom,scheduled,NS,,,2026-09-21T00:35:23Z
1549031,119,Superliga,Denmark,https://media.api-sports.io/flags/dk.svg,https://media.api-sports.io/football/leagues/119.png,2026,Regular Season - 10,2026-10-09T17:00:00+00:00,FC Nordsjaelland,https://media.api-sports.io/football/teams/398.png,Odense,https://media.api-sports.io/football/teams/405.png,,Right to Dream Park,Farum,scheduled,NS,,,2026-09-21T00:35:23Z
1549032,119,Superliga,Denmark,https://media.api-sports.io/flags/dk.svg,https://media.api-sports.io/football/leagues/119.png,2026,Regular Season - 10,2026-10-11T12:00:00+00:00,Randers FC,https://media.api-sports.io/football/teams/401.png,Viborg,https://media.api-sports.io/football/teams/2070.png,,Cepheus Park,Randers,scheduled,NS,,,2026-09-21T00:35:23Z
1549033,119,Superliga,Denmark,https://media.api-sports.io/flags/dk.svg,https://media.api-sports.io/football/leagues/119.png,2026,Regular Season - 10,2026-10-11T12:00:00+00:00,Silkeborg,https://media.api-sports.io/football/teams/2073.png,AC Horsens,https://media.api-sports.io/football/teams/404.png,,Jysk Park,Silkeborg,scheduled,NS,,,2026-09-21T00:35:23Z
1549029,119,Superliga,Denmark,https://media.api-sports.io/flags/dk.svg,https://media.api-sports.io/football/leagues/119.png,2026,Regular Season - 10,2026-10-11T14:00:00+00:00,Brondby,https://media.api-sports.io/football/teams/407.png,Lyngby,https://media.api-sports.io/football/teams/625.png,,,Brondby,scheduled,NS,,,2026-09-21T00:35:23Z
1549030,119,Superliga,Denmark,https://media.api-sports.io/flags/dk.svg,https://media.api-sports.io/football/leagues/119.png,2026,Regular Season - 10,2026-10-11T16:00:00+00:00,FC Midtjylland,https://media.api-sports.io/football/teams/397.png,FC Copenhagen,https://media.api-sports.io/football/teams/400.png,,MCH Arena,Herning,scheduled,NS,,,2026-09-21T00:35:23Z
1549028,119,Superliga,Denmark,https://media.api-sports.io/flags/dk.svg,https://media.api-sports.io/football/leagues/119.png,2026,Regular Season - 10,2026-10-12T17:00:00+00:00,Aarhus,https://media.api-sports.io/football/teams/406.png,Sonderjyske,https://media.api-sports.io/football/teams/396.png,,New Vejlby Stadium,Aarhus,scheduled,NS,,,2026-09-21T00:35:23Z
1550133,135,Serie A,Italy,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2026,Regular Season - 5,2026-09-18T18:45:00+00:00,Monza,https://media.api-sports.io/football/teams/1579.png,Sassuolo,https://media.api-sports.io/football/teams/488.png,"Daniele Perenzoni, Italy",U-Power Stadium,Monza,finished,FT,2,1,2026-09-21T00:35:23Z
1550129,135,Serie A,Italy,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2026,Regular Season - 5,2026-09-19T13:00:00+00:00,Bologna,https://media.api-sports.io/football/teams/500.png,Torino,https://media.api-sports.io/football/teams/503.png,"Marco Guida, Italy",Renato Dall'Ara,Bologna,finished,FT,1,1,2026-09-21T00:35:23Z
1550135,135,Serie A,Italy,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2026,Regular Season - 5,2026-09-19T13:00:00+00:00,Udinese,https://media.api-sports.io/football/teams/494.png,Cagliari,https://media.api-sports.io/football/teams/490.png,"Gianluca Manganiello, Italy",Bluenergy Stadium - Stadio Friuli,Udine,finished,FT,0,1,2026-09-21T00:35:23Z
1550128,135,Serie A,Italy,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2026,Regular Season - 5,2026-09-19T16:00:00+00:00,AS Roma,https://media.api-sports.io/football/teams/497.png,Inter,https://media.api-sports.io/football/teams/505.png,"Davide Massa, Italy",Stadio Olimpico,Rome,finished,FT,2,2,2026-09-21T00:35:23Z
1550136,135,Serie A,Italy,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2026,Regular Season - 5,2026-09-19T18:45:00+00:00,Venezia,https://media.api-sports.io/football/teams/517.png,Lazio,https://media.api-sports.io/football/teams/487.png,"Simone Sozza, Italy",Stadio Pierluigi Penzo,Venice,finished,FT,0,2,2026-09-21T00:35:23Z
1550130,135,Serie A,Italy,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2026,Regular Season - 5,2026-09-20T10:30:00+00:00,Fiorentina,https://media.api-sports.io/football/teams/502.png,Napoli,https://media.api-sports.io/football/teams/492.png,"Daniele Doveri, Italy",Stadio Artemio Franchi,Florence,finished,FT,1,1,2026-09-21T00:35:23Z
1550131,135,Serie A,Italy,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2026,Regular Season - 5,2026-09-20T13:00:00+00:00,Frosinone,https://media.api-sports.io/football/teams/512.png,Como,https://media.api-sports.io/football/teams/895.png,"Daniele Chiffi, Italy",Stadio Benito Stirpe,Frosinone,finished,FT,2,0,2026-09-21T00:35:23Z
1550134,135,Serie A,Italy,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2026,Regular Season - 5,2026-09-20T13:00:00+00:00,Parma,https://media.api-sports.io/football/teams/523.png,Genoa,https://media.api-sports.io/football/teams/495.png,"Maurizio Mariani, Italy",Stadio Ennio Tardini,Parma,finished,FT,2,1,2026-09-21T00:35:23Z
1550132,135,Serie A,Italy,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2026,Regular Season - 5,2026-09-20T16:00:00+00:00,Juventus,https://media.api-sports.io/football/teams/496.png,Atalanta,https://media.api-sports.io/football/teams/499.png,"Luca Zufferli, Italy",Allianz Stadium,Turin,finished,FT,2,0,2026-09-21T00:35:23Z
1550127,135,Serie A,Italy,https://media.api-sports.io/flags/it.svg,https://media.api-sports.io/football/leagues/135.png,2026,Regular Season - 5,2026-09-20T18:45:00+00:00,AC Milan,https://media.api-sports.io/football/teams/489.png,Lecce,https://media.api-sports.io/football/teams/867.png,"Federico La Penna, Italy",San Siro/Giuseppe Meazza,Milano,finished,FT,3,0,2026-09-21T00:35:23Z
1570397,140,La Liga,Spain,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2026,Regular Season - 7,2026-09-18T19:00:00+00:00,Espanyol,https://media.api-sports.io/football/teams/540.png,Elche,https://media.api-sports.io/football/teams/797.png,Jon Ander Gonzalez Esteban,RCDE Stadium,Cornella,finished,FT,1,3,2026-09-21T00:35:23Z
1570399,140,La Liga,Spain,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2026,Regular Season - 7,2026-09-19T12:00:00+00:00,Osasuna,https://media.api-sports.io/football/teams/727.png,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,Manuel Jesus Orellana Cid,Estadio El Sadar,Pamplona,finished,FT,1,1,2026-09-21T00:35:23Z
1570393,140,La Liga,Spain,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2026,Regular Season - 7,2026-09-19T14:15:00+00:00,Athletic Club,https://media.api-sports.io/football/teams/531.png,Alaves,https://media.api-sports.io/football/teams/542.png,Victor Garcia Verdura,San Mamés Stadium,Bilbao,finished,FT,0,0,2026-09-21T00:35:23Z
1570395,140,La Liga,Spain,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2026,Regular Season - 7,2026-09-19T16:30:00+00:00,Celta Vigo,https://media.api-sports.io/football/teams/538.png,Racing Santander,https://media.api-sports.io/football/teams/4665.png,Ricardo De Burgos Bengoetxea,Municipal de Balaídos,Vigo,finished,FT,5,0,2026-09-21T00:35:23Z
1570400,140,La Liga,Spain,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2026,Regular Season - 7,2026-09-19T19:00:00+00:00,Sevilla,https://media.api-sports.io/football/teams/536.png,Barcelona,https://media.api-sports.io/football/teams/529.png,Juan Martinez Munuera,Estadio Ramón Sánchez-Pizjuán,Seville,finished,FT,1,3,2026-09-21T00:35:23Z
1570398,140,La Liga,Spain,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2026,Regular Season - 7,2026-09-20T12:00:00+00:00,Getafe,https://media.api-sports.io/football/teams/546.png,Malaga,https://media.api-sports.io/football/teams/535.png,Javier Alberola Rojas,Coliseum Alfonso Pérez,Getafe,finished,FT,1,0,2026-09-21T00:35:23Z
1570394,140,La Liga,Spain,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2026,Regular Season - 7,2026-09-20T14:15:00+00:00,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,Real Madrid,https://media.api-sports.io/football/teams/541.png,Miguel Angel Ortiz Arias,Riyadh Air Metropolitano,Madrid,finished,FT,2,1,2026-09-21T00:35:23Z
1570396,140,La Liga,Spain,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2026,Regular Season - 7,2026-09-20T16:30:00+00:00,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,Real Betis,https://media.api-sports.io/football/teams/543.png,Cesar Soto Grado,Estadio de Riazor,La Coruna,finished,FT,1,1,2026-09-21T00:35:23Z
1570402,140,La Liga,Spain,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2026,Regular Season - 7,2026-09-20T16:30:00+00:00,Villarreal,https://media.api-sports.io/football/teams/533.png,Levante,https://media.api-sports.io/football/teams/539.png,Mateo Busquets Ferrer,Estadio de la Cerámica,Villarreal,finished,FT,3,1,2026-09-21T00:35:23Z
1570401,140,La Liga,Spain,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/140.png,2026,Regular Season - 7,2026-09-20T19:00:00+00:00,Valencia,https://media.api-sports.io/football/teams/532.png,Real Sociedad,https://media.api-sports.io/football/teams/548.png,Jose Luis Munuera Montero,Estadio de Mestalla,Valdivia,finished,FT,2,3,2026-09-21T00:35:23Z
