country,provider_league_id,league_name,season,provider_season_available,backfill_status,state_provider_fixture_rows,archive_rows,unique_fixture_ids,duplicate_fixture_ids,finished_rows,nonfinished_rows,participant_teams,min_team_archive_matches,max_team_archive_matches,min_team_finished_matches,max_team_finished_matches,unique_round_labels,phase_marker_types,phase_marker_round_labels,has_phase_markers,balanced_archive_appearances,balanced_finished_appearances,structure_class,naive_single_table_motivation_allowed,exact_motivation_contract_status,inventory_only,provider_calls,research_only,operational_betting_authority,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
Belgium,144,Jupiler Pro League,2018,true,CAPTURED,270,270,270,0,270,0,16,30,40,30,40,40,CHAMPIONSHIP,Championship Round - 1 || Championship Round - 10 || Championship Round - 2 || Championship Round - 3 || Championship Round - 4 || Championship Round - 5 || Championship Round - 6 || Championship Round - 7 || Championship Round - 8 || Championship Round - 9,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Belgium,144,Jupiler Pro League,2019,true,CAPTURED,240,240,240,0,232,8,16,30,30,29,29,30,,,false,true,true,BALANCED_SINGLE_TABLE_CANDIDATE,true,UNVERIFIED,true,0,true,false,false,false,false,false,false
Belgium,144,Jupiler Pro League,2020,true,CAPTURED,332,332,332,0,332,0,19,2,40,2,40,47,CHAMPIONSHIP|CONFERENCE|GROUP|PLAYOFF|RELEGATION,Championship Round - 1 || Championship Round - 2 || Championship Round - 3 || Championship Round - 4 || Championship Round - 5 || Championship Round - 6 || Conference League Play-off Group - 1 || Conference League Play-off Group - 2 || Conference League Play-off Group - 3 || Conference League Play-off Group - 4 || Conference League Play-off Group - 5 || Conference League Play-off Group - 6 || Relegation Round,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Belgium,144,Jupiler Pro League,2021,true,CAPTURED,333,333,333,0,332,1,19,2,41,2,40,48,CHAMPIONSHIP|CONFERENCE|FINALS|GROUP|PLAYOFF|RELEGATION,Championship Round - 1 || Championship Round - 2 || Championship Round - 3 || Championship Round - 4 || Championship Round - 5 || Championship Round - 6 || Conference League Play-off Group - 1 || Conference League Play-off Group - 2 || Conference League Play-off Group - 3 || Conference League Play-off Group - 4 || Conference League Play-off Group - 5 || Conference League Play-off Group - 6 || Conference League Play-offs - Final || Relegation Round,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Belgium,144,Jupiler Pro League,2022,true,CAPTURED,330,330,330,0,328,2,18,34,40,33,40,46,CHAMPIONSHIP|CONFERENCE|GROUP|PLAYOFF,Championship Round - 1 || Championship Round - 2 || Championship Round - 3 || Championship Round - 4 || Championship Round - 5 || Championship Round - 6 || Conference League Play-off Group - 1 || Conference League Play-off Group - 2 || Conference League Play-off Group - 3 || Conference League Play-off Group - 4 || Conference League Play-off Group - 5 || Conference League Play-off Group - 6,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Belgium,144,Jupiler Pro League,2023,true,CAPTURED,315,315,315,0,315,0,17,2,41,2,41,58,CHAMPIONSHIP|CONFERENCE|FINALS|GROUP|PLAYOFF|RELEGATION,Championship Round - 1 || Championship Round - 10 || Championship Round - 2 || Championship Round - 3 || Championship Round - 4 || Championship Round - 5 || Championship Round - 6 || Championship Round - 7 || Championship Round - 8 || Championship Round - 9 || Conference League Play-off Group - 1 || Conference League Play-off Group - 10 || Conference League Play-off Group - 2 || Conference League Play-off Group - 3 || Conference League Play-off Group - 4 || Conference League Play-off Group - 5 || Conference League Play-off Group - 6 || Conference League Play-off Group - 7 || Conference League Play-off Group - 8 || Conference League Play-off Group - 9 || Conference League Play-offs - Final || Relegation Round || Relegation Round - 1 || Relegation Round - 2,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Belgium,144,Jupiler Pro League,2024,true,CAPTURED,315,315,315,0,315,0,17,2,41,2,41,58,CHAMPIONSHIP|CONFERENCE|FINALS|GROUP|PLAYOFF|RELEGATION,Championship Round - 1 || Championship Round - 10 || Championship Round - 2 || Championship Round - 3 || Championship Round - 4 || Championship Round - 5 || Championship Round - 6 || Championship Round - 7 || Championship Round - 8 || Championship Round - 9 || Conference League Play-off Group - 1 || Conference League Play-off Group - 10 || Conference League Play-off Group - 2 || Conference League Play-off Group - 3 || Conference League Play-off Group - 4 || Conference League Play-off Group - 5 || Conference League Play-off Group - 6 || Conference League Play-off Group - 7 || Conference League Play-off Group - 8 || Conference League Play-off Group - 9 || Conference League Play-offs - Final || Relegation Round || Relegation Round - 1 || Relegation Round - 2,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Belgium,144,Jupiler Pro League,2025,true,CAPTURED,321,321,321,0,321,0,20,2,41,2,41,60,CHAMPIONSHIP|CONFERENCE|FINALS|GROUP|PLAYOFF|RELEGATION,Championship Group - 31 || Championship Group - 32 || Championship Group - 33 || Championship Group - 34 || Championship Group - 35 || Championship Group - 36 || Championship Group - 37 || Championship Group - 38 || Championship Group - 39 || Championship Group - 40 || Conference League Group - 31 || Conference League Group - 32 || Conference League Group - 33 || Conference League Group - 34 || Conference League Group - 35 || Conference League Group - 36 || Conference League Group - 37 || Conference League Group - 38 || Conference League Group - 39 || Conference League Group - 40 || Conference League Play-offs - Final || Final || Quarter-finals || Relegation Group - 31,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Denmark,119,Superliga,2017,true,CAPTURED,243,243,243,0,243,0,14,32,37,32,37,45,CHAMPIONSHIP|FINALS|PLAYOFF|RELEGATION,Championship Round - 1 || Championship Round - 10 || Championship Round - 2 || Championship Round - 3 || Championship Round - 4 || Championship Round - 5 || Championship Round - 6 || Championship Round - 7 || Championship Round - 8 || Championship Round - 9 || Europa League Play-offs - Final || Europa League Play-offs - Quarter-finals || Europa League Play-offs - Semi-finals || Relegation Round - 1 || Relegation Round - 2 || Relegation Round - 3 || Relegation Round - 4 || Relegation Round - 5 || Relegation Round - 6,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
Denmark,119,Superliga,2018,true,CAPTURED,243,243,243,0,243,0,14,32,37,32,37,45,CHAMPIONSHIP|FINALS|PLAYOFF|RELEGATION,Championship Round - 1 || Championship Round - 10 || Championship Round - 2 || Championship Round - 3 || Championship Round - 4 || Championship Round - 5 || Championship Round - 6 || Championship Round - 7 || Championship Round - 8 || Championship Round - 9 || Europa League Play-offs - Final || Europa League Play-offs - Quarter-finals || Europa League Play-offs - Semi-finals || Relegation Round - 1 || Relegation Round - 2 || Relegation Round - 3 || Relegation Round - 4 || Relegation Round - 5 || Relegation Round - 6,true,false,false,PHASED_OR_SPLIT_CANDIDATE,false,UNVERIFIED,true,0,true,false,false,false,false,false,false
