forward_id,rule,api_fixture_id,kickoff_utc,home_team,away_team,selection,stake_u,status,result,trigger_selected_odds,market_execution_odds,market_execution_bookmaker,paper_user_execution_odds,paper_user_execution_bookmaker,paper_user_execution_at_utc,user_close_odds,user_close_bookmaker,user_price_ratio_clv_pct,market_profit_u,user_profit_u,user_execution_status,notes
R1|I1|1550124,R1,1550124,2026-09-13T18:45:00Z,Sassuolo,Juventus,Away,1.000,PAPER,,1.62,1.69,1xBet,1.65,Marathonbet,2026-09-11T10:32:01Z,,,,,,FROZEN,paper user execution; not proof of a real placed bet
R1|I1|1550125,R1,1550125,2026-09-14T16:30:00Z,Torino,AS Roma,Away,1.000,PAPER,,1.57,1.62,1xBet,1.58,Marathonbet,2026-09-11T10:32:01Z,,,,,,FROZEN,paper user execution; not proof of a real placed bet
R1|I1|1550131,R1,1550131,2026-09-20T13:00:00Z,Frosinone,Como,Away,1.000,PAPER,,1.62,1.69,1xBet,1.65,Marathonbet,2026-09-11T10:32:01Z,,,,,,FROZEN,paper user execution; not proof of a real placed bet
