entity_id,entity_type,rule_or_stage,api_fixture_id,league,home_team,away_team,kickoff_utc,event_time_utc,event_type,status,selection,bookmaker,odds,details
BTTS_YES|1575159,WATCH,Stage63,1575159,Bundesliga,RB Leipzig,Hamburger SV,2026-09-13T13:30:00Z,2026-09-13T12:19:23Z,WATCH_CROSSING,WATCH_ONLY,ОЗ — Да,Marathonbet,1.46,movement_pp=0.04908377
BTTS_YES|1575159,WATCH,Stage63,1575159,Bundesliga,RB Leipzig,Hamburger SV,2026-09-13T13:30:00Z,2026-09-13T15:29:20Z,WATCH_SETTLEMENT,SETTLED,ОЗ — Да,Marathonbet,1.46,result=L profit_u=-1.000
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-11T09:57:16Z,SIGNAL_CREATED,SETTLED,П2,Bet365,1.62,Canonical rule matched; trigger immutable
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-11T10:01:11Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-11T10:09:18Z,CONTEXT_SNAPSHOT,NS,П2,,,BASELINE; lineups=NO; injuries=0
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-11T10:18:25Z,WEATHER_SNAPSHOT,,П2,,,temp=22.9C precip=1%
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-11T10:32:01Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-11T10:32:01Z,USER_EXECUTION_FROZEN,FROZEN,П2,Marathonbet,1.65,Prospective paper execution; not proof of real bet
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-11T10:44:50Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-11T11:43:32Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-11T12:50:21Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-11T13:06:24Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-11T13:45:24Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
