provider_league_id,league_name,country,referee,matches,season_count,first_date,last_date,unique_teams,home_wins,draws,away_wins,home_win_pct,draw_pct,away_win_pct,goal_observed_matches,total_goals,goals_per_observed_match,source_scope,cards_available,fouls_available,penalties_available,research_only,operational_betting_authority
135,Serie A,Italy,A. Arena,5,2,2025-04-27,2026-05-17,9,3,1,1,60.0,20.0,20.0,5,11,2.2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Calzavara,2,1,2026-04-25,2026-05-17,4,1,1,0,50.0,50.0,0.0,2,3,1.5,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Colombo,55,5,2021-12-02,2026-05-09,24,20,17,18,36.36,30.91,32.73,55,149,2.709,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Di Martino,5,2,2020-10-25,2021-10-23,7,3,1,1,60.0,20.0,20.0,5,18,3.6,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Giua,53,6,2019-08-25,2024-12-23,30,28,13,12,52.83,24.53,22.64,53,168,3.17,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Prontera,32,6,2019-10-06,2024-09-01,24,14,6,12,43.75,18.75,37.5,32,99,3.094,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Rapuano,60,6,2020-10-19,2026-04-12,27,30,12,18,50.0,20.0,30.0,60,150,2.5,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Santoro,14,4,2021-02-07,2024-05-24,17,8,5,1,57.14,35.71,7.14,14,30,2.143,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,A. Zanotti,1,1,2026-05-24,2026-05-24,2,1,0,0,100.0,0.0,0.0,1,1,1.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Alberto Ruben Arena, Italy",7,1,2025-08-24,2026-01-03,10,2,5,0,28.57,71.43,0.0,7,13,1.857,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Aleandro Di Paolo, Italy",1,1,2019-05-25,2019-05-25,2,1,0,0,100.0,0.0,0.0,1,5,5.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Alessandro Prontera, Italy",2,2,2020-08-02,2021-05-23,4,1,0,1,50.0,0.0,50.0,2,6,3.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Andrea Calzavara, Italy",1,1,2025-12-21,2025-12-21,2,0,0,1,0.0,0.0,100.0,1,1,1.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Andrea Colombo, Italy",7,1,2025-09-13,2026-01-07,10,2,1,4,28.57,14.29,57.14,7,21,3.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Antonio Damato, Italy",15,1,2017-08-20,2018-04-29,18,5,4,6,33.33,26.67,40.0,15,42,2.8,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Antonio Di Martino, Italy",2,2,2019-05-25,2020-08-02,4,0,2,0,0.0,100.0,0.0,2,2,1.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Antonio Giua, Italy",5,2,2018-02-24,2019-05-05,9,4,1,0,80.0,20.0,0.0,5,12,2.4,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Antonio Rapuano, Italy",3,1,2025-09-20,2026-01-04,5,0,1,2,0.0,33.33,66.67,3,6,2.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,"Claudio Gavillucci, Italy",17,1,2017-08-20,2018-05-20,16,5,2,10,29.41,11.76,58.82,17,44,2.588,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,D. Chiffi,97,7,2019-09-15,2026-05-10,26,40,20,37,41.24,20.62,38.14,97,254,2.619,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,D. Di Marco,5,3,2024-04-15,2026-04-18,9,2,2,1,40.0,40.0,20.0,5,15,3.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,D. Doveri,110,7,2019-09-01,2026-05-24,30,32,35,43,29.09,31.82,39.09,110,277,2.518,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,D. Ghersini,22,6,2020-07-29,2025-05-17,16,9,5,8,40.91,22.73,36.36,22,60,2.727,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,D. Massa,108,7,2019-08-24,2026-05-17,27,37,37,34,34.26,34.26,31.48,108,282,2.611,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,D. Minelli,1,1,2022-10-03,2022-10-03,2,0,0,1,0.0,0.0,100.0,1,3,3.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,D. Orsato,78,5,2019-08-31,2024-06-02,25,34,23,21,43.59,29.49,26.92,78,206,2.641,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
135,Serie A,Italy,D. Paterna,3,3,2021-04-21,2023-05-14,5,2,0,1,66.67,0.0,33.33,3,7,2.333,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
