fixture_id,provider_league_id,league_name,season,round,kickoff_utc,home_team,away_team,home_goals,away_goals,goals_total,venue_id,venue_name,surface_provider,roof_type,environment_source_class,environment_usable_for_prematch,environment_geocode_quality_status,environment_geocode_resolver_version,temperature_mean_c,apparent_temperature_mean_c,relative_humidity_mean_pct,dew_point_mean_c,surface_pressure_mean_hpa,precipitation_sum_mm,rain_sum_mm,showers_sum_mm,snowfall_sum_cm,visibility_min_m,wind_speed_mean_kmh,wind_speed_max_kmh,wind_gust_mean_kmh,wind_gust_max_kmh,weather_code_mode,shots_total,shots_on_goal_total,shots_outsidebox_total,goalkeeper_saves_total,corners_total,passes_accuracy_mean,expected_goals_total,normal_goals,penalty_goals,own_goals,red_card_events,var_events,goalkeeper_error_evidence,mechanism_coverage_status,causal_claim_authorized,research_only,predictive_authority,betting_authority,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
1561935,218,Bundesliga,2026,Regular Season - 7,2026-09-18T17:30:00+00:00,Rapid Vienna,WSG Wattens,3,0,3,145,Allianz Stadion,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,VERIFIED_CITY_COUNTRY_V2,PBK_GEOCODE_V2,20.5,18.725,44.25,7.675,994.425,0,0,0,0,41240,7.75,8,17.2,19.8,3,22,8,6,6,9,,,3,0,0,0,1,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1552173,88,Eredivisie,2026,Regular Season - 7,2026-09-18T18:00:00+00:00,Groningen,PEC Zwolle,3,0,3,12276,Euroborg,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,VERIFIED_CITY_COUNTRY_V2,PBK_GEOCODE_V2,15.033,13,76.667,10.967,1010.933,0,0,0,0,14620,15.467,17.3,26.033,29.9,3,26,8,14,5,11,,,3,0,0,0,0,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1553180,106,Ekstraklasa,2026,Regular Season - 9,2026-09-18T18:30:00+00:00,Wisla Krakow,Slask Wroclaw,2,1,3,1258,Stadion Miejski im. Henryka Reymana,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,,,16.4,15.75,67.75,10.425,992.275,0,0,0,0,13260,5.575,7.2,8.275,10.8,0,31,8,7,5,7,,,3,0,0,0,0,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1575167,78,Bundesliga,2026,Regular Season - 4,2026-09-18T18:30:00+00:00,Bayern München,Union Berlin,7,0,7,700,Allianz Arena,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,,,16.15,15.775,68.5,10.325,958.1,0,0,0,0,34280,3.6,4.8,9.45,13.3,3,26,17,10,8,11,,,6,1,0,0,0,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1550133,135,Serie A,2026,Regular Season - 5,2026-09-18T18:45:00+00:00,Monza,Sassuolo,2,1,3,12086,U-Power Stadium,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,,,19.833,20.633,69.667,14.1,997.033,0,0,0,0,35680,4,4.3,9.133,11.2,2,35,14,14,11,12,84.5,3.03,2,1,0,0,0,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1558635,144,Jupiler Pro League,2026,Regular Season - 7,2026-09-18T18:45:00+00:00,Gent,Standard Liege,2,1,3,20727,Planet Group Arena,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,,,17.7,15.2,66,11.267,1015.1,0,0,0,0,21100,20.167,23.8,37.8,43.2,3,25,10,5,7,11,,,3,0,0,0,0,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1557408,39,Premier League,2026,Regular Season - 5,2026-09-18T19:00:00+00:00,Brentford,Chelsea,3,0,3,10503,Gtech Community Stadium,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,VERIFIED_CITY_COUNTRY_V2,PBK_GEOCODE_V2,16.867,15.033,72.667,11.9,1011.933,0.1,0.1,0,0,14560,16.767,17.6,33.5,35.3,2,25,8,8,5,16,,,3,0,0,0,0,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1570397,140,La Liga,2026,Regular Season - 7,2026-09-18T19:00:00+00:00,Espanyol,Elche,1,3,4,20421,Stage Front Stadium,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,,,21.133,23.233,78.333,17.167,1017.033,0,0,0,0,29460,2.8,3.8,8.767,12.6,2,32,10,13,7,6,,,3,0,1,1,1,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1557416,39,Premier League,2026,Regular Season - 5,2026-09-19T11:30:00+00:00,Tottenham,Aston Villa,2,3,5,593,Tottenham Hotspur Stadium,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,,,21.55,20.075,62.75,14.15,1012.575,0,0,0,0,21640,19.625,20.2,42.95,43.9,3,35,13,14,8,12,,,5,0,0,0,1,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1553175,106,Ekstraklasa,2026,Regular Season - 9,2026-09-19T12:45:00+00:00,Korona Kielce,Raków Częstochowa,3,2,5,22306,EXBUD Arena,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,,,22,19.6,37.667,6.9,990.9,0,0,0,0,28880,11.033,11.9,24.967,26.3,0,42,17,14,12,12,,,3,2,0,0,1,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1550129,135,Serie A,2026,Regular Season - 5,2026-09-19T13:00:00+00:00,Bologna,Torino,1,1,2,881,Stadio Renato Dall'Ara,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,,,26.667,27.6,49,15.1,1012.367,0,0,0,0,40900,6.667,8.2,14.033,15.1,2,24,4,10,2,7,77,1.33,2,0,0,0,0,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1550135,135,Serie A,2026,Regular Season - 5,2026-09-19T13:00:00+00:00,Udinese,Cagliari,0,1,1,20416,Bluenergy Stadium,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,,,26.4,26.2,46,13.833,1007.5,0,0,0,0,41820,9.7,10.2,16.8,18.4,0,31,7,11,7,17,86.5,3.04,1,0,0,0,0,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1575170,78,Bundesliga,2026,Regular Season - 4,2026-09-19T13:30:00+00:00,Eintracht Frankfurt,SC Freiburg,2,2,4,10491,Deutsche Bank Park,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,,,24.2,21.7,33.75,7.2,1007.65,0,0,0,0,43560,12.175,12.7,30.6,31,3,32,10,6,6,8,,,4,0,0,0,0,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
1575171,78,Bundesliga,2026,Regular Season - 4,2026-09-19T13:30:00+00:00,Hamburger SV,1. FC Köln,2,1,3,720,Volksparkstadion,grass,UNKNOWN,HISTORICAL_FORECAST_ASSIMILATION_PROXY,false,,,19.1,17.75,71,13.725,1013.7,0,0,0,0,36140,17.75,19.3,39.05,40.3,3,30,12,11,9,8,,,3,0,0,0,0,NOT_AVAILABLE_IN_CURRENT_EVENT_ARCHIVE,TEAM_STATS_COMPLETE_EVENTS_AVAILABLE,false,true,NOT_AUTHORIZED,NOT_AUTHORIZED,false,false,false,false
